Пол,Возраст,Путешествует с детьми,Путешествует по работе,Тип,Расстояние,Покупка билета онлайн,Питание включено,Наличие wifi,Оценка комфортности места,Оценка качества уборки,Оценка качества обслуживания в пути,Удовлетворён предоставленной услугой,Оценка комфортности покупки билета онлайн,Оценка качества питания,Оценка качества wifi,Оценка комфортности времени отправления/прибытия,Общая оценка качества предоставленной услуги
муж,27,нет,нет,плацкарт,898,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,хорошо,нормально
жен,31,нет,нет,св,639,1,0,1,4,5,5,1,хорошо,отсутствует,хорошо,хорошо,хорошо
жен,34,нет,да,плацкарт,227,1,1,1,5,5,3,1,хорошо,хорошо,хорошо,хорошо,хорошо
жен,52,нет,да,плацкарт,443,1,1,0,3,2,2,1,плохо,нормально,отсутствует,плохо,хорошо
жен,63,нет,нет,купе,358,1,1,0,4,4,2,1,плохо,нормально,отсутствует,нормально,нормально
муж,50,нет,да,купе,1106,1,0,1,5,5,2,1,плохо,отсутствует,хорошо,плохо,хорошо
муж,70,нет,нет,плацкарт,1697,1,1,1,4,4,2,1,нормально,нормально,плохо,плохо,нормально
муж,20,нет,да,плацкарт,796,1,1,1,2,2,3,1,нормально,плохо,плохо,нормально,нормально
жен,35,нет,да,плацкарт,909,1,1,1,2,2,3,0,плохо,плохо,плохо,плохо,плохо
жен,22,нет,да,плацкарт,200,1,0,1,4,4,2,1,нормально,отсутствует,плохо,хорошо,нормально
муж,58,да,нет,плацкарт,1072,1,1,1,5,5,4,1,нормально,хорошо,плохо,нормально,нормально
муж,54,нет,нет,плацкарт,1148,1,1,0,4,4,4,1,плохо,нормально,отсутствует,хорошо,нормально
муж,69,нет,нет,плацкарт,563,0,1,0,1,1,4,1,отсутствует,плохо,отсутствует,нормально,хорошо
жен,31,да,нет,плацкарт,3821,1,1,1,3,3,4,1,нормально,нормально,нормально,хорошо,нормально
муж,34,нет,нет,плацкарт,676,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,хорошо,нормально
жен,40,нет,нет,купе,298,0,1,0,4,4,5,1,отсутствует,нормально,отсутствует,нормально,нормально
жен,30,нет,да,купе,657,0,1,0,3,4,3,1,отсутствует,нормально,отсутствует,плохо,хорошо
жен,47,да,нет,плацкарт,126,1,1,0,4,4,4,1,плохо,нормально,отсутствует,хорошо,нормально
муж,33,нет,да,плацкарт,405,1,1,1,3,1,3,1,нормально,плохо,плохо,плохо,нормально
муж,39,нет,нет,купе,436,1,0,1,1,1,3,1,нормально,отсутствует,плохо,нормально,нормально
муж,46,нет,да,св,274,1,1,1,3,4,3,1,нормально,нормально,плохо,нормально,нормально
муж,56,нет,нет,плацкарт,2652,1,1,0,5,5,4,1,плохо,плохо,отсутствует,нормально,нормально
муж,32,нет,нет,св,738,1,1,0,2,2,2,0,плохо,плохо,отсутствует,нормально,плохо
жен,38,нет,да,плацкарт,1158,1,0,0,4,5,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,35,нет,нет,плацкарт,694,1,0,1,5,5,4,1,нормально,отсутствует,нормально,хорошо,нормально
жен,34,нет,нет,плацкарт,871,1,0,0,2,2,4,0,плохо,отсутствует,отсутствует,хорошо,плохо
муж,39,нет,да,плацкарт,342,1,1,1,5,5,3,1,плохо,хорошо,хорошо,плохо,хорошо
муж,40,да,нет,плацкарт,464,1,0,1,2,2,4,0,нормально,отсутствует,плохо,нормально,плохо
муж,50,да,нет,св,905,1,1,1,1,1,4,1,нормально,плохо,нормально,плохо,хорошо
жен,39,да,нет,плацкарт,379,1,0,1,5,5,3,1,хорошо,отсутствует,хорошо,хорошо,хорошо
муж,27,нет,да,плацкарт,951,1,1,1,5,5,2,1,нормально,хорошо,плохо,нормально,нормально
жен,38,нет,нет,плацкарт,1286,1,1,0,1,1,4,0,плохо,плохо,отсутствует,плохо,плохо
жен,24,нет,да,плацкарт,410,1,1,1,1,3,4,1,нормально,нормально,нормально,плохо,хорошо
жен,48,нет,да,купе,275,1,1,1,4,4,3,1,нормально,нормально,нормально,нормально,хорошо
муж,29,нет,да,плацкарт,1164,1,0,0,1,1,4,1,нормально,отсутствует,отсутствует,нормально,нормально
муж,60,нет,нет,купе,1763,1,0,0,1,1,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,21,нет,нет,плацкарт,1106,1,0,1,4,4,5,1,нормально,отсутствует,плохо,хорошо,нормально
жен,60,нет,да,плацкарт,1624,1,1,0,2,2,3,0,плохо,плохо,отсутствует,плохо,плохо
жен,33,да,нет,плацкарт,1783,0,1,0,5,3,2,1,отсутствует,нормально,отсутствует,плохо,хорошо
жен,31,нет,да,плацкарт,964,1,0,1,4,4,4,1,плохо,отсутствует,нормально,хорошо,хорошо
жен,64,да,да,св,3238,1,0,1,3,2,2,1,нормально,отсутствует,плохо,нормально,нормально
муж,31,да,нет,плацкарт,227,1,0,1,5,5,4,1,нормально,отсутствует,нормально,хорошо,нормально
муж,29,нет,нет,плацкарт,371,1,0,0,2,2,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
жен,45,да,нет,плацкарт,858,1,0,1,4,4,4,1,нормально,отсутствует,плохо,хорошо,нормально
муж,69,нет,нет,плацкарт,349,1,1,1,2,2,4,1,плохо,плохо,нормально,нормально,нормально
жен,38,нет,нет,плацкарт,1164,1,1,0,1,3,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,52,нет,нет,плацкарт,2211,1,1,1,3,1,2,0,нормально,плохо,нормально,плохо,плохо
муж,38,нет,да,плацкарт,895,1,0,0,1,1,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,36,нет,да,плацкарт,436,1,1,0,1,4,2,1,плохо,нормально,отсутствует,нормально,нормально
муж,64,нет,да,плацкарт,181,1,1,1,5,5,2,1,нормально,хорошо,хорошо,нормально,хорошо
жен,27,нет,да,плацкарт,1050,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,32,нет,нет,плацкарт,334,1,0,1,3,3,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,18,нет,нет,плацкарт,668,1,1,0,4,4,2,1,плохо,нормально,отсутствует,нормально,нормально
муж,64,да,нет,плацкарт,1158,1,0,0,1,1,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
жен,18,нет,да,купе,521,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,49,нет,да,плацкарт,292,1,1,1,4,4,2,1,плохо,нормально,нормально,плохо,хорошо
муж,28,нет,нет,плацкарт,508,1,1,0,2,2,4,0,плохо,плохо,отсутствует,хорошо,плохо
жен,23,нет,да,плацкарт,171,1,1,1,3,4,2,1,хорошо,нормально,нормально,хорошо,хорошо
жен,38,да,нет,плацкарт,212,0,0,0,5,5,5,1,отсутствует,отсутствует,отсутствует,нормально,нормально
жен,49,нет,нет,плацкарт,159,1,1,1,5,5,4,1,нормально,хорошо,нормально,нормально,нормально
жен,25,нет,да,плацкарт,1279,1,1,1,4,4,3,1,нормально,нормально,плохо,нормально,нормально
муж,40,да,нет,св,526,1,1,0,1,1,3,1,плохо,плохо,отсутствует,нормально,нормально
жен,30,да,нет,плацкарт,126,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,18,нет,нет,плацкарт,2437,1,0,1,2,2,3,1,нормально,отсутствует,плохо,хорошо,нормально
жен,38,нет,да,плацкарт,1120,1,1,1,5,5,3,1,плохо,хорошо,плохо,плохо,нормально
муж,31,нет,нет,плацкарт,996,1,1,0,2,2,5,0,плохо,плохо,отсутствует,хорошо,плохо
жен,62,нет,нет,плацкарт,352,1,1,1,5,5,3,1,нормально,нормально,нормально,хорошо,нормально
жен,27,нет,нет,плацкарт,754,1,0,0,4,4,3,1,плохо,отсутствует,отсутствует,хорошо,нормально
жен,24,нет,да,купе,1154,1,1,1,4,5,3,1,хорошо,хорошо,хорошо,нормально,хорошо
жен,36,нет,нет,плацкарт,1060,1,1,1,4,4,4,1,нормально,нормально,нормально,нормально,нормально
муж,51,нет,нет,плацкарт,453,1,1,0,1,4,4,1,плохо,нормально,отсутствует,нормально,нормально
муж,31,нет,нет,купе,1763,1,0,1,1,1,3,0,нормально,отсутствует,плохо,хорошо,плохо
муж,29,нет,да,плацкарт,1014,1,0,1,4,4,3,1,нормально,отсутствует,плохо,нормально,нормально
жен,43,нет,нет,плацкарт,1073,1,0,0,3,3,1,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,30,нет,нет,купе,730,1,0,0,4,5,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,69,нет,да,купе,146,1,0,1,1,1,3,1,нормально,отсутствует,нормально,плохо,хорошо
муж,32,да,нет,плацкарт,1099,1,1,0,4,4,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,38,нет,да,плацкарт,834,1,1,1,5,5,3,1,нормально,хорошо,плохо,нормально,нормально
муж,43,да,да,плацкарт,898,1,0,0,2,2,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,63,нет,нет,плацкарт,489,1,1,1,1,3,2,1,нормально,нормально,плохо,плохо,нормально
жен,18,нет,да,плацкарт,284,1,1,0,4,4,3,1,плохо,нормально,отсутствует,плохо,нормально
жен,25,нет,да,купе,539,1,1,1,5,5,2,1,нормально,хорошо,плохо,нормально,нормально
жен,53,нет,нет,плацкарт,730,1,1,1,5,3,5,1,нормально,плохо,плохо,нормально,нормально
жен,68,нет,нет,плацкарт,520,1,1,0,3,3,4,1,плохо,плохо,отсутствует,нормально,нормально
жен,28,нет,да,купе,717,1,0,1,5,5,3,1,плохо,отсутствует,хорошо,плохо,хорошо
муж,34,нет,нет,плацкарт,1427,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,хорошо,нормально
жен,31,нет,да,плацкарт,599,1,1,1,3,3,3,1,плохо,нормально,плохо,хорошо,нормально
жен,26,нет,да,купе,559,1,1,1,3,3,2,1,нормально,нормально,плохо,нормально,нормально
жен,21,нет,да,плацкарт,1403,1,0,1,1,5,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,49,нет,нет,плацкарт,703,1,1,0,1,4,2,1,плохо,нормально,отсутствует,хорошо,нормально
жен,28,нет,да,плацкарт,1326,1,0,0,2,2,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,36,нет,да,плацкарт,213,1,0,0,2,3,3,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,64,нет,нет,купе,261,0,1,0,3,3,4,1,отсутствует,нормально,отсутствует,нормально,нормально
жен,39,да,нет,плацкарт,294,1,1,1,1,1,2,0,нормально,плохо,плохо,плохо,плохо
жен,23,нет,да,плацкарт,1042,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,плохо,нормально
жен,49,нет,нет,плацкарт,2325,1,1,0,4,4,3,1,нормально,нормально,отсутствует,нормально,нормально
муж,48,нет,да,купе,1711,1,1,0,2,2,2,0,хорошо,плохо,отсутствует,хорошо,плохо
жен,35,нет,да,плацкарт,135,1,1,1,4,4,2,1,нормально,нормально,плохо,хорошо,нормально
жен,43,нет,да,плацкарт,621,1,1,1,5,2,4,1,плохо,нормально,нормально,плохо,хорошо
муж,29,нет,нет,плацкарт,637,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,хорошо,нормально
жен,63,да,нет,плацкарт,234,0,0,0,5,5,3,1,отсутствует,отсутствует,отсутствует,плохо,нормально
муж,50,нет,да,купе,229,1,1,1,4,4,3,1,хорошо,нормально,нормально,хорошо,нормально
жен,49,да,да,плацкарт,994,1,1,1,3,3,3,1,хорошо,нормально,плохо,хорошо,нормально
жен,63,нет,нет,купе,302,1,1,0,4,3,4,1,плохо,хорошо,отсутствует,хорошо,нормально
жен,65,нет,нет,св,680,1,0,1,4,4,4,1,плохо,отсутствует,плохо,хорошо,нормально
муж,60,да,да,св,1770,1,0,1,4,4,3,1,хорошо,отсутствует,хорошо,хорошо,хорошо
муж,22,нет,да,плацкарт,1390,1,1,1,1,1,2,0,нормально,нормально,плохо,нормально,плохо
жен,67,нет,нет,плацкарт,962,1,0,1,1,4,4,1,нормально,отсутствует,плохо,хорошо,нормально
жен,34,нет,да,плацкарт,819,1,1,1,4,4,2,1,нормально,нормально,плохо,нормально,нормально
жен,34,да,нет,плацкарт,273,1,1,0,2,2,4,1,плохо,плохо,отсутствует,хорошо,нормально
жен,31,нет,да,купе,1254,1,1,1,3,3,4,1,хорошо,нормально,плохо,хорошо,нормально
муж,46,да,нет,плацкарт,171,1,0,1,4,4,2,1,хорошо,отсутствует,хорошо,нормально,хорошо
муж,19,нет,да,плацкарт,648,1,1,0,3,3,3,1,плохо,нормально,отсутствует,нормально,нормально
муж,32,нет,да,купе,962,1,0,1,4,4,4,1,плохо,отсутствует,нормально,плохо,хорошо
жен,67,нет,нет,плацкарт,700,1,1,0,3,4,2,1,плохо,нормально,отсутствует,плохо,нормально
муж,27,нет,нет,плацкарт,799,1,0,1,1,1,4,0,плохо,отсутствует,плохо,нормально,плохо
жен,35,нет,да,св,1481,1,0,0,5,4,5,1,нормально,отсутствует,отсутствует,плохо,хорошо
муж,46,да,нет,плацкарт,546,1,1,1,1,3,3,1,нормально,нормально,нормально,нормально,хорошо
жен,34,нет,нет,плацкарт,1883,1,0,1,1,5,2,0,нормально,отсутствует,плохо,плохо,плохо
жен,42,нет,нет,плацкарт,393,1,1,0,4,4,2,1,хорошо,нормально,отсутствует,нормально,нормально
муж,57,да,нет,плацкарт,2395,1,0,1,3,3,4,1,нормально,отсутствует,плохо,хорошо,нормально
жен,54,нет,нет,плацкарт,516,1,1,0,2,5,4,1,плохо,плохо,отсутствует,хорошо,нормально
муж,36,нет,нет,плацкарт,441,1,1,1,1,1,4,1,хорошо,плохо,хорошо,хорошо,хорошо
муж,68,нет,нет,купе,406,1,0,1,3,3,2,1,плохо,отсутствует,хорошо,хорошо,хорошо
жен,30,нет,нет,плацкарт,714,1,1,1,4,4,5,1,нормально,нормально,плохо,нормально,нормально
жен,23,нет,нет,плацкарт,1133,1,1,1,3,3,3,1,нормально,нормально,нормально,нормально,хорошо
жен,35,нет,нет,плацкарт,1984,1,0,1,2,2,4,1,нормально,отсутствует,нормально,нормально,хорошо
жен,31,нет,да,плацкарт,1524,1,1,0,2,2,2,0,нормально,плохо,отсутствует,плохо,плохо
жен,37,нет,да,плацкарт,1071,1,1,1,4,4,3,1,хорошо,нормально,хорошо,хорошо,хорошо
муж,60,да,нет,плацкарт,277,1,1,1,1,1,5,1,нормально,плохо,плохо,хорошо,нормально
жен,57,да,да,св,553,1,1,0,1,1,4,1,нормально,плохо,отсутствует,нормально,нормально
муж,60,нет,да,св,407,1,1,0,3,4,2,1,плохо,плохо,отсутствует,плохо,нормально
муж,32,нет,да,купе,946,1,0,1,4,4,4,1,плохо,отсутствует,нормально,плохо,хорошо
жен,24,нет,нет,плацкарт,428,1,0,0,4,4,4,1,нормально,отсутствует,отсутствует,хорошо,нормально
муж,22,нет,да,плацкарт,1313,1,1,0,4,4,4,1,плохо,нормально,отсутствует,плохо,нормально
жен,32,нет,да,плацкарт,1079,1,0,1,4,4,4,1,плохо,отсутствует,нормально,плохо,хорошо
жен,35,нет,нет,св,495,1,1,1,4,3,2,0,нормально,плохо,плохо,хорошо,плохо
жен,30,да,нет,плацкарт,277,1,0,1,3,3,4,1,нормально,отсутствует,плохо,нормально,нормально
жен,57,да,нет,плацкарт,688,1,1,0,2,2,4,0,плохо,плохо,отсутствует,плохо,плохо
жен,44,да,нет,плацкарт,308,1,0,0,5,5,2,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,19,нет,нет,плацкарт,453,1,0,0,4,4,2,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,54,нет,нет,плацкарт,1489,1,0,0,4,4,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,59,нет,да,плацкарт,390,1,0,1,4,5,3,1,нормально,отсутствует,плохо,хорошо,хорошо
муж,62,нет,нет,плацкарт,539,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,нормально,нормально
муж,58,нет,нет,плацкарт,1477,1,1,1,3,3,4,1,хорошо,нормально,нормально,нормально,нормально
муж,29,нет,нет,плацкарт,1126,1,1,1,4,4,3,1,нормально,нормально,плохо,нормально,нормально
жен,49,нет,нет,плацкарт,628,1,1,0,4,5,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,57,да,да,плацкарт,581,1,1,1,2,5,4,1,нормально,хорошо,нормально,плохо,хорошо
жен,50,нет,да,плацкарт,1272,1,1,0,4,4,3,1,плохо,нормально,отсутствует,плохо,нормально
муж,21,нет,нет,плацкарт,1051,1,0,0,5,5,2,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,50,нет,нет,купе,1083,1,0,0,2,2,4,0,плохо,отсутствует,отсутствует,хорошо,плохо
жен,23,нет,да,плацкарт,1035,1,0,1,2,2,2,1,хорошо,отсутствует,нормально,хорошо,нормально
муж,22,нет,да,плацкарт,785,1,1,1,3,3,2,1,нормально,нормально,нормально,нормально,хорошо
жен,43,да,нет,плацкарт,518,1,1,0,3,3,3,1,плохо,нормально,отсутствует,плохо,нормально
муж,51,нет,нет,плацкарт,578,1,1,0,5,5,3,1,нормально,хорошо,отсутствует,нормально,нормально
жен,22,нет,нет,плацкарт,485,1,1,0,5,5,5,1,плохо,плохо,отсутствует,нормально,нормально
муж,57,нет,нет,плацкарт,2032,1,1,1,2,2,5,1,хорошо,плохо,хорошо,нормально,хорошо
муж,57,нет,да,плацкарт,333,1,1,0,3,3,4,1,плохо,нормально,отсутствует,нормально,нормально
муж,34,нет,нет,плацкарт,481,1,1,0,3,3,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,20,нет,нет,плацкарт,709,1,0,0,1,1,3,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,38,нет,нет,плацкарт,566,1,1,0,3,5,3,1,нормально,хорошо,отсутствует,нормально,нормально
жен,24,нет,да,плацкарт,1099,1,0,1,5,5,4,1,хорошо,отсутствует,хорошо,хорошо,хорошо
муж,59,да,да,св,1752,1,1,1,5,5,4,1,хорошо,хорошо,хорошо,хорошо,хорошо
жен,42,нет,да,купе,287,1,1,1,2,4,5,1,плохо,хорошо,хорошо,плохо,хорошо
жен,24,нет,да,купе,614,1,1,1,5,5,2,1,нормально,хорошо,хорошо,нормально,хорошо
жен,25,нет,нет,плацкарт,726,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,нормально,нормально
муж,41,нет,нет,плацкарт,1057,1,1,0,2,2,3,1,плохо,плохо,отсутствует,нормально,нормально
жен,62,нет,нет,св,599,1,0,0,4,3,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,61,нет,нет,плацкарт,1051,1,1,1,2,2,2,0,нормально,плохо,плохо,плохо,плохо
жен,60,да,нет,плацкарт,369,1,1,0,4,3,4,1,плохо,нормально,отсутствует,хорошо,нормально
муж,66,нет,нет,плацкарт,830,0,0,0,2,2,4,1,отсутствует,отсутствует,отсутствует,хорошо,хорошо
муж,18,нет,да,плацкарт,500,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
жен,37,да,нет,плацкарт,420,1,0,0,4,3,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,57,да,да,св,2471,1,1,0,5,5,5,1,плохо,хорошо,отсутствует,плохо,хорошо
муж,23,нет,да,плацкарт,799,1,0,0,4,4,2,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,22,нет,да,купе,786,0,0,0,4,4,3,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
муж,36,нет,нет,плацкарт,513,1,1,1,4,4,3,1,нормально,нормально,плохо,плохо,нормально
жен,29,нет,нет,плацкарт,307,1,1,0,2,5,2,0,плохо,хорошо,отсутствует,плохо,плохо
муж,44,да,нет,плацкарт,620,1,1,1,3,3,4,1,нормально,нормально,плохо,нормально,нормально
жен,39,нет,нет,купе,345,1,0,1,5,5,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,35,да,нет,плацкарт,475,1,1,0,5,5,3,1,нормально,хорошо,отсутствует,плохо,нормально
муж,45,да,нет,плацкарт,355,1,1,0,1,2,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,44,нет,нет,плацкарт,171,1,0,1,4,4,3,1,нормально,отсутствует,нормально,плохо,нормально
муж,42,да,нет,купе,1128,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,51,нет,да,плацкарт,307,1,1,1,4,4,1,1,плохо,нормально,нормально,нормально,хорошо
жен,38,нет,да,плацкарт,490,1,0,1,2,1,3,1,нормально,отсутствует,плохо,нормально,нормально
муж,28,нет,нет,плацкарт,703,1,1,1,4,4,4,1,нормально,нормально,плохо,хорошо,нормально
жен,42,нет,нет,плацкарт,363,1,0,1,3,3,2,1,нормально,отсутствует,нормально,нормально,нормально
муж,60,да,нет,плацкарт,150,1,0,1,1,1,2,1,нормально,отсутствует,плохо,хорошо,нормально
жен,63,нет,нет,плацкарт,1599,1,0,1,5,3,2,1,нормально,отсутствует,нормально,нормально,нормально
жен,27,нет,да,купе,1165,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
муж,51,нет,нет,плацкарт,2023,1,1,1,3,3,4,1,нормально,нормально,плохо,нормально,нормально
жен,61,да,нет,купе,2491,1,0,0,3,3,2,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,66,нет,нет,плацкарт,1362,1,0,0,1,1,5,0,плохо,отсутствует,отсутствует,нормально,плохо
муж,58,да,нет,плацкарт,464,1,0,0,5,5,2,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,66,нет,нет,плацкарт,1929,1,0,1,3,3,2,1,плохо,отсутствует,плохо,нормально,нормально
жен,24,нет,да,плацкарт,1444,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,51,нет,нет,купе,466,1,1,1,1,1,2,0,нормально,плохо,плохо,нормально,плохо
жен,43,нет,нет,плацкарт,2379,1,1,1,4,4,4,1,нормально,нормально,плохо,хорошо,нормально
жен,57,нет,нет,плацкарт,765,1,0,0,1,3,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,37,да,нет,плацкарт,1120,1,0,1,2,2,2,0,нормально,отсутствует,плохо,нормально,плохо
муж,23,нет,да,плацкарт,1599,1,1,0,5,5,2,1,плохо,хорошо,отсутствует,плохо,нормально
муж,51,да,нет,плацкарт,459,1,0,0,3,3,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,48,нет,нет,плацкарт,661,1,0,1,4,4,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,20,нет,нет,плацкарт,391,1,1,1,2,2,4,1,хорошо,плохо,хорошо,нормально,хорошо
муж,50,нет,да,плацкарт,649,1,1,1,4,4,2,1,плохо,нормально,нормально,плохо,хорошо
жен,47,нет,нет,купе,571,1,1,1,4,5,2,1,нормально,хорошо,нормально,хорошо,нормально
муж,27,нет,нет,плацкарт,302,1,1,0,5,5,2,1,плохо,хорошо,отсутствует,нормально,нормально
жен,28,нет,да,купе,290,1,1,1,3,3,2,1,нормально,нормально,плохо,хорошо,нормально
муж,24,нет,да,плацкарт,1043,1,0,0,4,4,5,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,42,нет,да,купе,362,1,0,1,3,4,4,1,хорошо,отсутствует,хорошо,хорошо,хорошо
жен,65,да,нет,плацкарт,758,1,0,1,5,5,4,1,нормально,отсутствует,нормально,нормально,нормально
жен,56,да,да,св,3917,1,0,0,2,2,3,1,хорошо,отсутствует,отсутствует,хорошо,нормально
муж,42,нет,да,плацкарт,567,1,1,1,5,5,3,1,нормально,хорошо,хорошо,нормально,хорошо
муж,25,да,нет,плацкарт,1093,1,0,1,1,1,3,1,нормально,отсутствует,нормально,нормально,нормально
жен,19,нет,нет,купе,571,1,0,0,3,3,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,36,нет,нет,плацкарт,818,1,1,0,4,3,3,1,плохо,нормально,отсутствует,нормально,нормально
жен,38,нет,да,плацкарт,674,1,1,1,1,1,3,0,плохо,плохо,плохо,нормально,плохо
жен,22,нет,да,плацкарт,1326,1,0,1,4,4,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,63,да,да,плацкарт,224,1,1,1,5,5,3,1,нормально,хорошо,плохо,плохо,нормально
муж,27,нет,да,плацкарт,287,1,1,1,3,5,4,1,нормально,хорошо,плохо,хорошо,нормально
муж,58,нет,нет,плацкарт,2523,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,29,нет,да,купе,881,0,0,0,1,1,4,1,отсутствует,отсутствует,отсутствует,плохо,хорошо
муж,38,нет,да,плацкарт,200,1,1,0,1,4,3,1,плохо,нормально,отсутствует,хорошо,нормально
муж,39,нет,нет,плацкарт,2325,1,0,1,4,3,4,1,нормально,отсутствует,плохо,плохо,нормально
муж,34,нет,нет,плацкарт,440,1,1,1,1,1,4,1,хорошо,плохо,хорошо,хорошо,хорошо
муж,38,нет,да,плацкарт,320,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
муж,23,нет,да,плацкарт,442,1,1,0,2,2,2,0,плохо,плохо,отсутствует,плохо,плохо
жен,32,да,нет,плацкарт,890,1,0,1,4,4,3,1,нормально,отсутствует,плохо,плохо,нормально
жен,57,нет,нет,купе,2741,1,0,1,4,4,3,1,хорошо,отсутствует,хорошо,нормально,хорошо
муж,29,нет,нет,купе,400,1,0,0,4,4,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,52,нет,да,св,3015,1,1,1,4,3,2,1,хорошо,нормально,нормально,хорошо,нормально
