total_area,living_area,ceil_height,rooms_number,city_center_distance,years_after_repair
67.0,30.2,2.7,3.0,6.0,15.0
44.6,21.4,2.7,1.0,3.7,2.0
54.0,25.9,2.7,1.0,6.8,3.0
61.7,30.2,2.8,3.0,7.6,12.0
62.3,28.0,3.2,2.0,4.8,4.0
66.0,27.7,2.8,3.0,11.3,16.0
64.3,41.2,3.3,3.0,7.8,3.0
131.0,76.0,2.8,4.0,4.8,8.0
72.4,40.5,2.9,2.0,2.4,11.0
54.3,32.6,2.8,2.0,4.1,6.0
57.0,34.2,2.9,1.0,4.3,3.0
77.0,48.5,2.9,3.0,9.0,5.0
66.7,38.0,2.7,2.0,2.5,4.0
68.1,28.6,2.7,2.0,3.8,7.0
56.0,24.1,2.8,2.0,9.4,1.0
67.0,37.5,3.1,3.0,5.4,3.0
66.0,33.0,2.9,3.0,7.6,1.0
56.8,29.0,2.7,2.0,9.4,2.0
62.4,26.2,3.0,2.0,6.7,4.0
60.6,24.8,3.0,3.0,10.5,8.0
53.3,24.0,2.7,1.0,7.4,0.0
71.6,40.1,2.7,4.0,5.3,3.0
93.0,50.2,3.3,3.0,4.5,9.0
69.0,28.3,2.7,3.0,7.0,4.0
67.4,39.1,3.2,2.0,7.1,6.0
58.5,31.6,2.9,2.0,4.7,1.0
71.3,38.5,3.2,4.0,7.9,7.0
60.0,35.4,2.7,2.0,0.6,4.0
57.3,32.1,3.1,2.0,4.6,6.0
70.3,44.3,3.3,3.0,6.7,3.0
58.0,37.1,3.4,2.0,3.8,16.0
71.7,29.4,3.1,3.0,2.1,2.0
66.0,42.2,2.7,2.0,6.9,2.0
61.0,35.4,3.2,3.0,8.4,3.0
58.5,32.8,2.9,2.0,8.9,5.0
56.8,32.9,3.3,2.0,2.3,4.0
62.4,28.1,2.7,2.0,0.0,1.0
77.0,48.5,3.0,3.0,1.3,5.0
54.0,22.7,2.9,2.0,8.9,3.0
89.1,49.0,3.2,2.0,7.1,3.0
64.6,39.4,3.1,2.0,9.8,5.0
54.1,22.2,2.8,1.0,7.0,3.0
54.3,23.3,3.3,1.0,4.6,1.0
133.8,64.2,3.5,4.0,6.8,7.0
52.8,34.3,2.7,1.0,6.0,4.0
54.5,25.1,3.3,1.0,8.6,3.0
140.0,68.6,3.0,5.0,4.3,10.0
74.6,31.3,2.8,3.0,7.3,10.0
70.5,38.8,3.4,3.0,4.8,8.0
62.6,27.5,3.3,3.0,9.0,0.0
60.0,24.6,2.9,2.0,3.0,16.0
76.0,43.3,2.8,2.0,4.2,1.0
78.1,36.7,3.1,4.0,0.1,4.0
70.0,30.8,2.7,3.0,7.8,3.0
86.1,56.0,2.9,3.0,6.6,2.0
66.2,42.4,3.2,2.0,5.5,5.0
64.0,39.0,2.7,3.0,5.6,7.0
59.7,25.1,3.5,2.0,7.1,4.0
97.7,39.1,3.2,3.0,3.2,5.0
78.0,48.4,3.3,2.0,2.8,1.0
52.0,25.5,2.9,2.0,2.8,12.0
65.0,35.8,2.8,2.0,8.5,3.0
67.4,41.8,2.9,2.0,2.2,2.0
75.0,36.8,3.4,3.0,6.8,0.0
73.5,43.4,2.7,3.0,9.3,1.0
77.4,31.7,2.9,3.0,6.3,7.0
78.8,37.8,2.8,3.0,6.2,2.0
58.0,31.9,3.3,1.0,0.6,2.0
49.9,28.4,2.9,1.0,4.2,11.0
62.2,39.2,2.8,2.0,4.1,8.0
75.5,40.8,3.4,3.0,9.9,3.0
116.4,47.7,3.2,3.0,6.5,1.0
60.9,28.6,2.7,2.0,4.5,0.0
62.9,25.2,2.8,2.0,11.3,11.0
69.0,37.9,3.0,3.0,7.6,16.0
55.0,27.5,2.8,2.0,3.1,17.0
43.0,26.2,2.7,2.0,4.6,8.0
80.3,41.0,2.7,2.0,7.6,1.0
83.0,47.3,2.7,4.0,6.2,14.0
66.0,32.3,2.7,3.0,2.9,1.0
61.4,36.8,3.1,2.0,4.2,1.0
66.6,32.6,3.5,3.0,5.6,6.0
70.5,45.8,2.7,2.0,10.8,10.0
74.0,34.8,2.7,3.0,4.5,1.0
62.7,38.9,2.9,3.0,9.2,2.0
65.4,26.8,2.7,2.0,9.4,2.0
64.0,29.4,2.7,2.0,9.5,3.0
68.6,35.7,2.8,3.0,7.7,5.0
79.0,32.4,2.7,2.0,6.1,3.0
81.1,46.2,2.8,4.0,2.8,3.0
62.0,26.7,2.7,3.0,6.7,7.0
55.0,33.0,2.8,2.0,5.4,8.0
44.0,28.2,3.1,1.0,5.3,16.0
75.4,36.2,3.4,2.0,5.8,5.0
64.3,36.0,2.8,3.0,6.8,3.0
61.9,27.9,3.1,2.0,2.2,1.0
65.3,28.7,2.7,2.0,1.8,3.0
88.6,48.7,2.8,3.0,9.4,12.0
79.0,48.2,2.7,3.0,1.2,7.0
56.1,25.8,3.4,1.0,8.8,5.0
70.7,34.6,3.2,4.0,11.1,4.0
62.8,28.3,3.0,3.0,6.6,14.0
68.2,40.9,3.3,3.0,3.4,10.0
63.2,31.0,2.9,3.0,7.3,10.0
65.0,41.0,3.0,3.0,12.2,1.0
72.2,28.9,2.7,4.0,5.7,3.0
103.2,58.8,3.3,5.0,10.4,6.0
74.0,47.4,2.8,3.0,5.7,4.0
53.5,25.7,3.0,1.0,3.2,7.0
68.0,43.5,2.8,3.0,8.3,4.0
67.8,33.2,2.8,2.0,10.6,1.0
147.0,72.0,2.7,5.0,2.0,5.0
70.7,37.5,2.8,2.0,6.9,3.0
58.4,30.4,3.0,2.0,9.7,4.0
56.0,23.5,2.7,2.0,5.6,5.0
59.8,38.3,2.9,2.0,3.6,8.0
90.0,54.0,3.0,3.0,6.5,8.0
79.6,45.4,2.9,4.0,4.7,7.0
59.8,24.5,2.8,1.0,2.7,2.0
66.4,39.2,2.8,3.0,5.7,5.0
63.5,27.9,2.8,2.0,6.8,2.0
75.6,45.4,2.7,2.0,4.7,12.0
66.0,38.9,3.0,3.0,7.2,5.0
58.5,36.3,2.9,1.0,10.8,1.0
112.3,69.6,2.7,3.0,5.2,0.0
66.8,42.8,2.7,2.0,6.5,8.0
111.6,53.6,2.7,5.0,7.7,2.0
68.0,38.8,2.8,3.0,8.5,6.0
61.4,38.7,2.8,2.0,9.1,0.0
89.4,47.4,2.8,3.0,8.1,3.0
66.9,35.5,3.3,2.0,4.6,9.0
77.5,38.8,2.7,2.0,9.7,3.0
59.4,35.0,2.7,1.0,9.7,3.0
59.7,25.1,2.7,1.0,7.4,2.0
112.0,45.9,3.2,3.0,2.4,1.0
36.2,14.8,2.8,1.0,9.0,2.0
64.1,27.6,2.7,3.0,3.6,9.0
124.7,78.6,2.9,5.0,3.5,9.0
69.8,43.3,3.3,2.0,6.1,7.0
68.0,30.6,3.2,2.0,8.1,3.0
64.0,41.0,2.7,2.0,7.7,3.0
54.1,32.5,3.1,2.0,5.8,1.0
64.0,41.6,2.8,3.0,7.2,5.0
67.2,37.6,3.5,3.0,9.1,7.0
54.1,34.1,2.8,1.0,6.3,5.0
80.0,36.0,2.7,4.0,8.1,17.0
75.0,33.0,2.8,4.0,3.0,8.0
68.9,41.3,3.3,3.0,2.9,3.0
96.3,53.0,3.4,3.0,0.4,1.0
54.0,29.7,3.1,2.0,8.5,2.0
78.5,50.2,2.7,3.0,4.2,2.0
78.8,45.7,3.0,3.0,5.2,1.0
107.7,47.4,2.7,3.0,9.2,2.0
109.8,61.5,2.9,3.0,8.3,16.0
105.0,64.0,2.8,4.0,2.2,17.0
75.5,42.3,2.9,3.0,5.4,5.0
70.0,40.6,3.1,3.0,4.1,0.0
73.6,33.9,3.2,4.0,5.3,13.0
58.3,35.0,2.8,2.0,2.1,3.0
54.1,34.6,3.4,2.0,4.9,7.0
63.5,37.5,2.7,2.0,4.9,2.0
112.0,44.8,2.9,3.0,10.0,3.0
47.7,25.3,2.9,2.0,7.3,0.0
68.0,40.8,2.8,2.0,0.5,15.0
94.3,49.0,2.9,4.0,6.2,8.0
67.8,38.6,2.7,3.0,6.7,3.0
93.8,46.9,3.5,4.0,13.4,11.0
63.7,33.1,3.0,3.0,7.5,6.0
63.4,34.2,2.9,3.0,3.8,4.0
71.0,31.2,2.7,2.0,9.8,4.0
95.1,39.0,3.3,4.0,8.3,3.0
94.6,37.8,2.8,3.0,8.3,3.0
63.0,32.8,3.0,3.0,3.6,2.0
48.5,20.4,2.7,1.0,3.2,1.0
59.0,31.3,2.8,1.0,2.2,1.0
63.3,34.8,3.2,3.0,4.1,2.0
70.0,34.3,2.8,3.0,4.6,11.0
53.4,28.8,2.8,2.0,9.7,2.0
68.2,37.5,2.9,3.0,4.6,9.0
65.0,30.6,3.4,3.0,5.1,2.0
90.0,37.8,3.4,3.0,3.0,10.0
62.5,35.6,2.9,2.0,9.8,6.0
146.1,83.3,2.9,5.0,4.5,6.0
93.4,47.6,2.8,4.0,3.7,14.0
67.3,31.6,2.7,3.0,5.7,6.0
74.7,35.9,2.9,4.0,6.7,7.0
66.8,40.7,3.4,2.0,5.9,3.0
76.1,43.4,2.7,2.0,7.1,4.0
70.0,39.2,2.9,3.0,7.1,2.0
70.0,40.6,2.7,2.0,5.7,8.0
55.2,34.2,2.9,1.0,5.7,6.0
62.0,26.7,3.0,3.0,5.5,1.0
64.0,37.8,3.1,3.0,4.1,2.0
87.8,52.7,3.3,3.0,4.9,6.0
55.0,29.7,2.9,1.0,0.1,2.0
77.6,41.1,2.7,3.0,8.4,9.0
68.6,31.6,2.9,2.0,4.9,2.0
68.5,30.1,3.0,2.0,3.5,7.0
70.2,42.8,2.7,2.0,6.7,2.0
73.1,46.1,3.4,3.0,2.8,0.0
41.4,20.3,3.3,1.0,7.6,3.0
57.6,33.4,3.0,2.0,8.8,12.0
70.5,29.6,2.7,3.0,7.4,8.0
60.8,24.3,2.9,2.0,6.2,5.0
58.6,23.4,3.0,2.0,3.0,12.0
54.5,22.9,2.9,1.0,5.2,8.0
67.8,41.4,3.0,2.0,6.9,7.0
60.7,34.0,2.9,2.0,6.7,3.0
79.4,50.0,2.7,4.0,6.1,4.0
51.8,33.2,2.7,2.0,2.1,4.0
91.0,58.2,2.7,4.0,9.1,2.0
66.5,37.9,3.1,3.0,8.4,14.0
60.0,24.0,2.7,2.0,1.2,0.0
109.2,64.4,2.7,3.0,1.1,4.0
107.7,43.1,3.4,3.0,3.5,3.0
57.0,26.8,3.1,1.0,10.1,4.0
57.2,29.2,2.8,2.0,9.2,2.0
60.0,28.2,3.0,1.0,1.7,1.0
85.0,43.4,3.2,3.0,5.1,1.0
69.4,40.3,2.7,3.0,7.2,0.0
90.7,54.4,3.5,4.0,2.9,4.0
80.0,32.0,3.3,3.0,4.4,8.0
68.4,39.0,3.4,3.0,11.4,5.0
54.2,33.1,2.8,1.0,6.2,11.0
64.5,27.7,3.4,2.0,2.2,14.0
58.5,30.4,2.8,2.0,6.6,6.0
58.1,26.7,2.9,1.0,5.2,6.0
57.5,31.6,3.4,2.0,6.6,12.0
71.4,43.6,2.9,4.0,7.9,2.0
65.0,31.2,3.0,3.0,1.6,1.0
84.0,38.6,2.7,3.0,7.5,4.0
58.4,29.2,2.9,1.0,9.7,3.0
67.6,32.4,2.9,3.0,2.4,2.0
59.2,37.9,2.9,2.0,5.8,2.0
80.1,35.2,3.4,4.0,2.1,5.0
66.3,29.2,3.1,3.0,2.8,4.0
83.4,43.4,2.7,3.0,8.2,2.0
55.7,33.4,3.2,2.0,6.9,7.0
62.0,28.5,2.7,3.0,1.7,11.0
65.8,32.9,2.8,2.0,7.9,2.0
63.1,38.5,3.4,2.0,7.7,5.0
68.2,42.3,3.1,2.0,5.3,5.0
61.0,36.0,2.7,2.0,11.7,5.0
71.7,45.9,2.8,3.0,2.3,3.0
54.0,27.5,2.8,2.0,9.7,8.0
62.8,33.3,2.7,2.0,1.8,9.0
56.0,35.3,2.7,2.0,7.1,11.0
58.0,34.8,2.9,1.0,5.8,1.0
77.0,31.6,2.8,2.0,11.8,4.0
196.0,98.0,2.8,6.0,6.7,4.0
104.4,58.5,3.1,3.0,6.6,11.0
68.0,42.2,3.0,2.0,5.1,5.0
72.9,47.4,2.8,2.0,9.3,3.0
57.4,28.7,2.7,2.0,9.8,5.0
109.1,48.0,2.7,4.0,10.8,12.0
78.1,50.8,2.8,3.0,7.4,1.0
57.0,25.6,2.8,2.0,6.1,2.0
75.4,30.2,2.8,2.0,0.9,7.0
64.0,26.2,3.1,2.0,6.7,4.0
50.0,22.5,2.7,2.0,4.1,11.0
71.2,33.5,3.1,4.0,3.3,4.0
64.1,28.2,3.4,3.0,7.0,5.0
124.2,77.0,3.1,6.0,4.2,14.0
89.0,49.0,2.8,3.0,3.7,6.0
67.9,29.9,2.9,2.0,1.7,0.0
200.0,106.0,3.2,6.0,3.6,9.0
67.5,42.5,2.7,3.0,7.2,4.0
53.6,27.3,2.9,1.0,1.2,6.0
49.7,29.3,2.9,1.0,6.6,1.0
68.7,27.5,2.8,3.0,6.7,13.0
111.6,64.7,3.2,5.0,6.6,6.0
74.0,33.3,3.0,3.0,7.2,7.0
52.6,30.0,2.7,2.0,1.1,8.0
60.0,33.0,2.8,1.0,7.2,4.0
106.6,61.8,3.1,4.0,8.4,6.0
69.0,44.2,2.7,2.0,9.1,4.0
54.8,34.5,2.8,1.0,8.7,5.0
98.0,62.7,2.8,3.0,3.2,3.0
65.4,32.7,2.7,2.0,3.7,2.0
56.6,24.9,3.2,2.0,3.9,8.0
74.5,44.7,2.8,3.0,1.8,10.0
104.6,50.2,2.7,5.0,9.6,3.0
134.8,64.7,3.2,5.0,4.6,5.0
63.4,38.7,3.3,2.0,8.1,17.0
110.0,49.5,3.3,4.0,5.5,6.0
55.4,27.7,2.7,2.0,8.6,12.0
56.2,33.2,2.7,2.0,5.7,15.0
61.1,26.3,3.2,3.0,10.1,1.0
52.0,29.6,2.7,1.0,4.2,3.0
67.0,32.2,2.7,2.0,4.7,9.0
62.5,25.6,2.7,3.0,7.7,3.0
61.3,29.4,3.1,2.0,5.3,7.0
72.4,34.8,3.4,4.0,2.3,3.0
66.2,35.1,2.9,2.0,12.3,0.0
64.0,37.1,3.3,2.0,4.3,6.0
67.0,34.8,2.7,3.0,8.3,11.0
191.6,78.6,2.7,7.0,3.4,4.0
71.0,34.1,3.4,3.0,7.2,0.0
61.6,36.3,2.9,3.0,10.1,2.0
101.6,44.7,3.1,3.0,7.5,1.0
109.0,43.6,2.7,5.0,2.6,4.0
68.4,36.9,3.4,2.0,7.6,2.0
77.3,34.0,3.2,3.0,5.1,2.0
64.2,41.7,3.1,3.0,5.1,3.0
65.6,28.2,2.8,2.0,10.5,9.0
63.7,35.7,2.7,3.0,6.5,3.0
68.0,38.8,3.2,2.0,9.9,3.0
99.0,46.5,2.9,3.0,4.9,2.0
63.0,32.8,3.4,2.0,5.8,4.0
64.2,40.4,3.0,2.0,2.4,1.0
60.0,27.0,3.4,2.0,6.4,2.0
151.1,72.5,2.8,6.0,5.7,3.0
83.4,33.4,3.4,3.0,6.1,8.0
55.0,31.9,3.3,1.0,0.8,5.0
62.0,24.8,3.2,2.0,6.3,2.0
59.6,26.8,3.5,2.0,2.1,3.0
69.0,31.0,3.1,2.0,7.7,3.0
67.8,29.2,2.7,2.0,10.7,6.0
67.2,33.6,2.7,3.0,3.5,1.0
58.9,26.5,3.1,2.0,3.8,3.0
72.5,33.4,3.1,3.0,3.7,3.0
84.4,39.7,3.3,3.0,7.2,11.0
66.6,28.0,3.3,2.0,8.7,6.0
