dt,channel,costs
2019-09-03,Gooble,821.5
2019-09-04,Gooble,784.3000000000001
2019-09-05,Gooble,768.8000000000001
2019-09-06,Gooble,827.7
2019-09-07,Gooble,939.3000000000001
2019-09-08,Gooble,818.4
2019-09-09,Gooble,731.6
2019-09-10,Gooble,750.2
2019-09-11,Gooble,682.0
2019-09-12,Gooble,725.4
2019-09-13,Gooble,843.2
2019-09-14,Gooble,1026.1000000000001
2019-09-15,Gooble,976.5
2019-09-16,Gooble,877.3000000000001
2019-09-17,Gooble,837.0
2019-09-18,Gooble,1081.9
2019-09-19,Gooble,914.5
2019-09-20,Gooble,1193.5
2019-09-21,Gooble,1162.5
2019-09-22,Gooble,1432.2
2019-09-23,Gooble,1227.6000000000001
2019-09-24,Gooble,1317.5
2019-09-25,Gooble,1085.0
2019-09-26,Gooble,1236.9
2019-09-27,Gooble,1326.8
2019-09-28,Gooble,1463.2
2019-09-29,Gooble,1466.3
2019-09-30,Gooble,1215.2
2019-10-01,Gooble,1289.6000000000001
2019-10-02,Gooble,1119.1000000000001
2019-10-03,Gooble,1209.0
2019-10-04,Gooble,1267.9
2019-10-05,Gooble,1255.5
2019-10-06,Gooble,1209.0
2019-10-07,Gooble,1066.4
2019-10-08,Gooble,1032.3
2019-10-09,Gooble,837.0
2019-10-10,Gooble,886.6
2019-10-11,Gooble,1103.6000000000001
2019-10-12,Gooble,1004.4
2019-10-13,Gooble,861.8000000000001
2019-10-14,Gooble,880.4
2019-10-15,Gooble,753.3000000000001
2019-10-16,Gooble,802.9
2019-10-17,Gooble,911.4
2019-10-18,Gooble,1066.4
2019-10-19,Gooble,1085.0
2019-10-20,Gooble,1013.7
2019-10-21,Gooble,985.8000000000001
2019-10-22,Gooble,899.0
2019-10-23,Gooble,781.2
2019-10-24,Gooble,1041.6000000000001
2019-10-25,Gooble,1159.4
2019-10-26,Gooble,1317.5
2019-10-27,Gooble,1320.6000000000001
2019-10-28,Gooble,1150.1000000000001
2019-10-29,Gooble,1106.7
2019-10-30,Gooble,1122.2
2019-10-31,Gooble,1326.8
2019-11-01,Gooble,1193.5
2019-11-02,Gooble,1422.9
2019-11-03,Gooble,1227.6000000000001
2019-11-04,Gooble,1360.9
2019-11-05,Gooble,1240.0
2019-08-08,FaceNotebook,287.09999999999997
2019-08-09,FaceNotebook,231.0
2019-08-10,FaceNotebook,273.9
2019-08-11,FaceNotebook,306.9
2019-08-12,FaceNotebook,237.6
2019-08-13,FaceNotebook,224.39999999999998
2019-08-14,FaceNotebook,224.39999999999998
2019-08-15,FaceNotebook,247.5
2019-08-16,FaceNotebook,254.1
2019-08-17,FaceNotebook,287.09999999999997
2019-08-18,FaceNotebook,283.8
2019-08-19,FaceNotebook,280.5
2019-08-20,FaceNotebook,303.59999999999997
2019-08-21,FaceNotebook,224.39999999999998
2019-08-22,FaceNotebook,277.2
2019-08-23,FaceNotebook,297.0
2019-08-24,FaceNotebook,277.2
2019-08-25,FaceNotebook,303.59999999999997
2019-08-26,FaceNotebook,257.4
2019-08-27,FaceNotebook,257.4
2019-08-28,FaceNotebook,244.2
2019-08-29,FaceNotebook,290.4
2019-08-30,FaceNotebook,257.4
2019-08-31,FaceNotebook,211.2
2019-09-01,FaceNotebook,297.0
2019-09-02,FaceNotebook,254.1
2019-09-03,FaceNotebook,188.1
2019-09-04,FaceNotebook,217.79999999999998
2019-09-05,FaceNotebook,201.29999999999998
2019-09-06,FaceNotebook,231.0
2019-09-07,FaceNotebook,214.5
2019-09-08,FaceNotebook,257.4
2019-09-09,FaceNotebook,188.1
2019-09-10,FaceNotebook,191.39999999999998
2019-09-11,FaceNotebook,171.6
2019-09-12,FaceNotebook,240.89999999999998
2019-09-13,FaceNotebook,198.0
2019-09-14,FaceNotebook,273.9
2019-09-15,FaceNotebook,264.0
2019-09-16,FaceNotebook,204.6
2019-09-17,FaceNotebook,273.9
2019-09-18,FaceNotebook,247.5
2019-09-19,FaceNotebook,290.4
2019-09-20,FaceNotebook,310.2
2019-09-21,FaceNotebook,376.2
2019-09-22,FaceNotebook,356.4
2019-09-23,FaceNotebook,273.9
2019-09-24,FaceNotebook,320.09999999999997
2019-09-25,FaceNotebook,310.2
2019-09-26,FaceNotebook,356.4
2019-09-27,FaceNotebook,389.4
2019-09-28,FaceNotebook,382.79999999999995
2019-09-29,FaceNotebook,386.09999999999997
2019-09-30,FaceNotebook,333.29999999999995
2019-10-01,FaceNotebook,369.59999999999997
2019-10-02,FaceNotebook,323.4
2019-10-03,FaceNotebook,280.5
2019-10-04,FaceNotebook,267.3
2019-10-05,FaceNotebook,353.09999999999997
2019-10-06,FaceNotebook,300.3
2019-10-07,FaceNotebook,339.9
2019-10-08,FaceNotebook,191.39999999999998
2019-10-09,FaceNotebook,191.39999999999998
2019-10-10,FaceNotebook,290.4
2019-10-11,FaceNotebook,247.5
2019-10-12,FaceNotebook,267.3
2019-10-13,FaceNotebook,250.79999999999998
2019-10-14,FaceNotebook,207.89999999999998
2019-10-15,FaceNotebook,198.0
2019-10-16,FaceNotebook,168.29999999999998
2019-10-17,FaceNotebook,273.9
2019-10-18,FaceNotebook,221.1
2019-10-19,FaceNotebook,247.5
2019-10-20,FaceNotebook,273.9
2019-10-21,FaceNotebook,264.0
2019-10-22,FaceNotebook,264.0
2019-10-23,FaceNotebook,211.2
2019-10-24,FaceNotebook,260.7
2019-10-25,FaceNotebook,310.2
2019-10-26,FaceNotebook,363.0
2019-10-27,FaceNotebook,300.3
2019-10-28,FaceNotebook,303.59999999999997
2019-10-29,FaceNotebook,320.09999999999997
2019-10-30,FaceNotebook,237.6
2019-10-31,FaceNotebook,349.79999999999995
2019-11-01,FaceNotebook,290.4
2019-11-02,FaceNotebook,356.4
2019-11-03,FaceNotebook,336.59999999999997
2019-11-04,FaceNotebook,297.0
2019-11-05,FaceNotebook,297.0
2019-08-08,Gooble,223.20000000000002
2019-08-09,Gooble,303.8
2019-08-10,Gooble,254.20000000000002
2019-08-11,Gooble,232.5
2019-08-12,Gooble,306.90000000000003
2019-08-13,Gooble,248.0
2019-08-14,Gooble,297.6
2019-08-15,Gooble,257.3
2019-08-16,Gooble,260.40000000000003
2019-08-17,Gooble,220.1
2019-08-18,Gooble,251.1
2019-08-19,Gooble,248.0
2019-08-20,Gooble,244.9
2019-08-21,Gooble,248.0
2019-08-22,Gooble,254.20000000000002
2019-08-23,Gooble,275.90000000000003
2019-08-24,Gooble,294.5
2019-08-25,Gooble,303.8
2019-08-26,Gooble,232.5
2019-08-27,Gooble,269.7
2019-08-28,Gooble,217.0
2019-08-29,Gooble,210.8
2019-08-30,Gooble,285.2
2019-08-31,Gooble,285.2
2019-09-01,Gooble,223.20000000000002
2019-09-02,Gooble,189.1
2019-09-03,Gooble,210.8
2019-09-04,Gooble,207.70000000000002
2019-09-05,Gooble,189.1
2019-09-06,Gooble,229.4
2019-09-07,Gooble,213.9
2019-09-08,Gooble,213.9
2019-09-09,Gooble,155.0
2019-09-10,Gooble,142.6
2019-09-11,Gooble,164.3
2019-09-12,Gooble,142.6
2019-09-13,Gooble,232.5
2019-09-14,Gooble,272.8
2019-09-15,Gooble,282.1
2019-09-16,Gooble,235.6
2019-09-17,Gooble,195.3
2019-09-18,Gooble,282.1
2019-09-19,Gooble,198.4
2019-09-20,Gooble,319.3
2019-09-21,Gooble,303.8
2019-09-22,Gooble,337.90000000000003
2019-09-23,Gooble,347.2
2019-09-24,Gooble,266.6
2019-09-25,Gooble,319.3
2019-09-26,Gooble,350.3
2019-09-27,Gooble,306.90000000000003
2019-09-28,Gooble,356.5
2019-09-29,Gooble,344.1
2019-09-30,Gooble,322.40000000000003
2019-10-01,Gooble,288.3
2019-10-02,Gooble,285.2
2019-10-03,Gooble,269.7
2019-10-04,Gooble,331.7
2019-10-05,Gooble,297.6
2019-10-06,Gooble,300.7
2019-10-07,Gooble,263.5
2019-10-08,Gooble,210.8
2019-10-09,Gooble,235.6
2019-10-10,Gooble,192.20000000000002
2019-10-11,Gooble,285.2
2019-10-12,Gooble,275.90000000000003
2019-10-13,Gooble,201.5
2019-10-14,Gooble,220.1
2019-10-15,Gooble,223.20000000000002
2019-10-16,Gooble,207.70000000000002
2019-10-17,Gooble,217.0
2019-10-18,Gooble,244.9
2019-10-19,Gooble,263.5
2019-10-20,Gooble,282.1
2019-10-21,Gooble,235.6
2019-10-22,Gooble,207.70000000000002
2019-10-23,Gooble,241.8
2019-10-24,Gooble,232.5
2019-10-25,Gooble,291.40000000000003
2019-10-26,Gooble,313.1
2019-10-27,Gooble,313.1
2019-10-28,Gooble,279.0
2019-10-29,Gooble,275.90000000000003
2019-10-30,Gooble,272.8
2019-10-31,Gooble,306.90000000000003
2019-11-01,Gooble,365.8
2019-11-02,Gooble,334.8
2019-11-03,Gooble,294.5
2019-11-04,Gooble,288.3
2019-11-05,Gooble,285.2
