id,Пол,Возраст,Путешествует с детьми,Путешествует по работе,Тип,Расстояние,Покупка билета онлайн,Питание включено,Наличие wifi,Оценка комфортности места,Оценка качества уборки,Оценка качества обслуживания в пути,Удовлетворён предоставленной услугой
14567573,жен,30,нет,нет,плацкарт,714,1,1,1,4,4,5,1
93355910,жен,23,нет,нет,плацкарт,1133,1,1,1,3,3,3,1
4713556,жен,35,нет,нет,плацкарт,1984,1,0,1,2,2,4,1
97981962,жен,31,нет,да,плацкарт,1524,1,1,0,2,2,2,0
66385031,жен,37,нет,да,плацкарт,1071,1,1,1,4,4,3,1
68291036,муж,60,да,нет,плацкарт,277,1,1,1,1,1,5,1
61199432,жен,57,да,да,св,553,1,1,0,1,1,4,1
1764150,муж,60,нет,да,св,407,1,1,0,3,4,2,1
64036830,муж,32,нет,да,купе,946,1,0,1,4,4,4,1
55470706,жен,24,нет,нет,плацкарт,428,1,0,0,4,4,4,1
12122493,муж,22,нет,да,плацкарт,1313,1,1,0,4,4,4,1
70504039,жен,32,нет,да,плацкарт,1079,1,0,1,4,4,4,1
4494397,жен,35,нет,нет,св,495,1,1,1,4,3,2,0
11095414,жен,30,да,нет,плацкарт,277,1,0,1,3,3,4,1
81436724,жен,57,да,нет,плацкарт,688,1,1,0,2,2,4,0
72701489,жен,44,да,нет,плацкарт,308,1,0,0,5,5,2,1
93625007,муж,19,нет,нет,плацкарт,453,1,0,0,4,4,2,1
75881314,жен,54,нет,нет,плацкарт,1489,1,0,0,4,4,3,1
89118408,жен,59,нет,да,плацкарт,390,1,0,1,4,5,3,1
76091316,муж,62,нет,нет,плацкарт,539,1,1,0,5,5,4,1
69137148,муж,58,нет,нет,плацкарт,1477,1,1,1,3,3,4,1
16879241,муж,29,нет,нет,плацкарт,1126,1,1,1,4,4,3,1
18652313,жен,49,нет,нет,плацкарт,628,1,1,0,4,5,4,1
96700050,жен,57,да,да,плацкарт,581,1,1,1,2,5,4,1
82622247,жен,50,нет,да,плацкарт,1272,1,1,0,4,4,3,1
53629149,муж,21,нет,нет,плацкарт,1051,1,0,0,5,5,2,1
57695992,муж,50,нет,нет,купе,1083,1,0,0,2,2,4,0
80046292,жен,23,нет,да,плацкарт,1035,1,0,1,2,2,2,1
47710359,муж,22,нет,да,плацкарт,785,1,1,1,3,3,2,1
50521460,жен,43,да,нет,плацкарт,518,1,1,0,3,3,3,1
71876266,муж,51,нет,нет,плацкарт,578,1,1,0,5,5,3,1
50015928,жен,22,нет,нет,плацкарт,485,1,1,0,5,5,5,1
72654822,муж,57,нет,нет,плацкарт,2032,1,1,1,2,2,5,1
13560465,муж,57,нет,да,плацкарт,333,1,1,0,3,3,4,1
21887934,муж,34,нет,нет,плацкарт,481,1,1,0,3,3,4,1
84214741,жен,20,нет,нет,плацкарт,709,1,0,0,1,1,3,1
67378880,муж,38,нет,нет,плацкарт,566,1,1,0,3,5,3,1
35638283,жен,24,нет,да,плацкарт,1099,1,0,1,5,5,4,1
74522731,муж,59,да,да,св,1752,1,1,1,5,5,4,1
16677683,жен,42,нет,да,купе,287,1,1,1,2,4,5,1
260266,жен,24,нет,да,купе,614,1,1,1,5,5,2,1
29508165,жен,25,нет,нет,плацкарт,726,1,1,0,5,5,4,1
82483168,муж,41,нет,нет,плацкарт,1057,1,1,0,2,2,3,1
94329938,жен,62,нет,нет,св,599,1,0,0,4,3,4,1
96992053,муж,61,нет,нет,плацкарт,1051,1,1,1,2,2,2,0
14001282,жен,60,да,нет,плацкарт,369,1,1,0,4,3,4,1
79898983,муж,66,нет,нет,плацкарт,830,0,0,0,2,2,4,1
75006211,муж,18,нет,да,плацкарт,500,1,1,0,1,1,3,0
66130633,жен,37,да,нет,плацкарт,420,1,0,0,4,3,4,1
59418295,муж,57,да,да,св,2471,1,1,0,5,5,5,1
91074970,муж,23,нет,да,плацкарт,799,1,0,0,4,4,2,1
60083926,жен,22,нет,да,купе,786,0,0,0,4,4,3,1
85104514,муж,36,нет,нет,плацкарт,513,1,1,1,4,4,3,1
30240425,жен,29,нет,нет,плацкарт,307,1,1,0,2,5,2,0
25233827,муж,44,да,нет,плацкарт,620,1,1,1,3,3,4,1
42609192,жен,39,нет,нет,купе,345,1,0,1,5,5,4,1
80023928,муж,35,да,нет,плацкарт,475,1,1,0,5,5,3,1
9434555,муж,45,да,нет,плацкарт,355,1,1,0,1,2,3,0
1395242,муж,44,нет,нет,плацкарт,171,1,0,1,4,4,3,1
59191261,муж,42,да,нет,купе,1128,1,0,0,4,4,4,1
95165248,муж,51,нет,да,плацкарт,307,1,1,1,4,4,1,1
46086535,жен,38,нет,да,плацкарт,490,1,0,1,2,1,3,1
77409647,муж,28,нет,нет,плацкарт,703,1,1,1,4,4,4,1
95483068,жен,42,нет,нет,плацкарт,363,1,0,1,3,3,2,1
29430029,муж,60,да,нет,плацкарт,150,1,0,1,1,1,2,1
20815535,жен,63,нет,нет,плацкарт,1599,1,0,1,5,3,2,1
80553344,жен,27,нет,да,купе,1165,1,1,1,3,3,3,1
49109407,муж,51,нет,нет,плацкарт,2023,1,1,1,3,3,4,1
30474692,жен,61,да,нет,купе,2491,1,0,0,3,3,2,1
85402021,муж,66,нет,нет,плацкарт,1362,1,0,0,1,1,5,0
20452213,муж,58,да,нет,плацкарт,464,1,0,0,5,5,2,0
45163005,муж,66,нет,нет,плацкарт,1929,1,0,1,3,3,2,1
38408417,жен,24,нет,да,плацкарт,1444,1,1,0,1,1,3,0
87739910,муж,51,нет,нет,купе,466,1,1,1,1,1,2,0
32017756,жен,43,нет,нет,плацкарт,2379,1,1,1,4,4,4,1
99599485,жен,57,нет,нет,плацкарт,765,1,0,0,1,3,4,1
51460937,муж,37,да,нет,плацкарт,1120,1,0,1,2,2,2,0
47427760,муж,23,нет,да,плацкарт,1599,1,1,0,5,5,2,1
59852028,муж,51,да,нет,плацкарт,459,1,0,0,3,3,3,1
20728465,жен,48,нет,нет,плацкарт,661,1,0,1,4,4,4,1
80924518,муж,20,нет,нет,плацкарт,391,1,1,1,2,2,4,1
39858717,муж,50,нет,да,плацкарт,649,1,1,1,4,4,2,1
51838358,жен,47,нет,нет,купе,571,1,1,1,4,5,2,1
91816963,муж,27,нет,нет,плацкарт,302,1,1,0,5,5,2,1
24124270,жен,28,нет,да,купе,290,1,1,1,3,3,2,1
65108404,муж,24,нет,да,плацкарт,1043,1,0,0,4,4,5,1
14789877,жен,42,нет,да,купе,362,1,0,1,3,4,4,1
81218223,жен,65,да,нет,плацкарт,758,1,0,1,5,5,4,1
3739326,жен,56,да,да,св,3917,1,0,0,2,2,3,1
56194585,муж,42,нет,да,плацкарт,567,1,1,1,5,5,3,1
60315129,муж,25,да,нет,плацкарт,1093,1,0,1,1,1,3,1
68401398,жен,19,нет,нет,купе,571,1,0,0,3,3,3,1
4223960,жен,36,нет,нет,плацкарт,818,1,1,0,4,3,3,1
16089727,жен,38,нет,да,плацкарт,674,1,1,1,1,1,3,0
95880389,жен,22,нет,да,плацкарт,1326,1,0,1,4,4,4,1
6446882,муж,63,да,да,плацкарт,224,1,1,1,5,5,3,1
71205193,муж,27,нет,да,плацкарт,287,1,1,1,3,5,4,1
29620133,муж,58,нет,нет,плацкарт,2523,1,0,0,5,5,3,1
17043280,муж,29,нет,да,купе,881,0,0,0,1,1,4,1
13277865,муж,38,нет,да,плацкарт,200,1,1,0,1,4,3,1
52733781,муж,39,нет,нет,плацкарт,2325,1,0,1,4,3,4,1
21116577,муж,34,нет,нет,плацкарт,440,1,1,1,1,1,4,1
29243187,муж,38,нет,да,плацкарт,320,1,1,1,3,3,3,1
1774533,муж,23,нет,да,плацкарт,442,1,1,0,2,2,2,0
11590126,жен,32,да,нет,плацкарт,890,1,0,1,4,4,3,1
70282779,жен,57,нет,нет,купе,2741,1,0,1,4,4,3,1
45386563,муж,29,нет,нет,купе,400,1,0,0,4,4,3,1
87971475,жен,52,нет,да,св,3015,1,1,1,4,3,2,1
75128102,муж,21,нет,да,купе,799,1,0,1,4,3,2,1
43528878,муж,26,нет,нет,плацкарт,587,1,0,0,4,4,4,1
20290703,жен,36,нет,да,купе,585,1,0,1,4,4,4,1
51622947,жен,30,нет,да,плацкарт,260,1,1,1,4,4,2,1
8641479,муж,27,нет,нет,плацкарт,624,1,0,1,1,1,4,0
60665473,жен,24,нет,нет,купе,203,1,0,1,1,1,4,1
6393883,муж,58,нет,нет,плацкарт,420,1,0,1,4,4,4,1
41363874,муж,38,нет,да,плацкарт,253,1,1,0,2,2,2,1
32492795,жен,26,нет,да,купе,1758,1,1,1,3,3,3,1
38122962,жен,48,да,нет,купе,626,1,1,0,5,5,4,1
71556520,жен,32,нет,нет,плацкарт,396,1,1,1,2,2,5,1
26109922,муж,54,нет,да,купе,850,1,1,0,1,1,2,0
99942858,жен,50,да,нет,плацкарт,289,1,0,1,3,3,5,1
38000998,жен,52,нет,да,св,1336,1,1,0,5,5,5,1
44309239,жен,45,нет,нет,плацкарт,176,1,1,1,2,4,4,1
92762149,муж,55,нет,нет,св,1042,1,1,0,5,2,3,0
97087668,жен,56,нет,нет,купе,224,0,0,0,2,2,3,1
53293209,жен,44,нет,нет,плацкарт,2648,1,0,1,5,5,4,1
45403205,муж,48,нет,да,купе,307,1,0,1,5,5,2,1
60355888,муж,21,нет,да,плацкарт,627,1,1,1,3,4,4,1
49940880,муж,20,нет,нет,плацкарт,665,1,0,1,4,4,3,1
57028230,жен,36,да,нет,плацкарт,1001,1,0,0,2,2,4,1
38194997,жен,60,да,нет,плацкарт,1645,1,1,1,2,2,4,1
81759691,муж,22,нет,нет,плацкарт,1184,1,1,1,5,5,4,1
33506765,жен,28,нет,да,плацкарт,1144,1,1,1,3,3,3,1
93436528,муж,50,нет,нет,плацкарт,264,1,1,1,3,5,4,1
47567880,жен,33,да,нет,плацкарт,229,1,0,0,4,4,3,1
5270419,жен,55,нет,нет,плацкарт,197,1,1,1,4,4,3,1
73664519,муж,48,нет,нет,плацкарт,1295,1,0,0,3,3,4,1
30855130,жен,41,да,нет,плацкарт,679,1,1,1,2,2,4,1
36292186,муж,23,нет,нет,плацкарт,420,1,0,0,1,5,5,1
32899008,жен,55,нет,нет,плацкарт,1765,1,1,0,5,5,2,1
32562271,муж,36,нет,да,плацкарт,375,1,1,0,2,2,3,1
90488728,муж,27,нет,нет,плацкарт,285,1,0,0,2,2,4,0
63050710,муж,22,нет,да,плацкарт,346,1,1,1,3,3,3,1
84745615,жен,46,да,да,св,2414,1,1,0,5,5,5,1
27259911,жен,49,нет,нет,св,138,1,1,1,4,4,4,1
86386950,муж,41,да,нет,плацкарт,552,1,0,0,5,5,3,1
98386730,жен,68,нет,нет,купе,1002,1,1,0,4,5,2,1
36082387,муж,19,нет,нет,плацкарт,482,1,1,1,2,2,2,1
22103691,жен,37,нет,нет,плацкарт,1524,1,0,1,2,2,4,1
65897408,муж,51,нет,нет,купе,466,1,0,1,2,3,3,1
35601100,муж,22,нет,да,плацкарт,851,1,1,0,4,4,5,1
38647257,муж,31,нет,нет,купе,1142,1,1,0,4,4,2,1
14657125,муж,34,нет,нет,плацкарт,639,1,0,1,5,5,5,1
16027136,жен,54,нет,да,плацкарт,552,1,0,1,4,3,3,1
98319286,муж,61,нет,да,купе,265,1,1,0,2,2,4,1
36306020,жен,59,да,нет,св,484,1,1,1,3,1,4,1
71068713,жен,45,да,да,плацкарт,962,1,0,0,3,3,3,1
79572431,муж,32,да,нет,плацкарт,432,1,1,0,3,3,4,1
95338309,муж,31,да,нет,св,334,1,1,0,4,4,4,1
43863118,муж,58,нет,да,плацкарт,492,1,0,1,3,3,4,1
28504633,жен,56,нет,нет,плацкарт,2190,1,1,1,5,4,3,1
71500123,жен,50,да,нет,плацкарт,682,1,0,0,4,4,2,1
4575641,муж,28,нет,нет,св,2219,1,0,1,3,3,2,1
38115744,муж,59,да,нет,плацкарт,266,1,1,1,4,4,5,1
14068293,муж,51,нет,нет,купе,703,1,1,0,1,1,3,0
67853239,муж,45,нет,да,купе,843,1,1,1,5,5,3,1
19458538,муж,60,да,да,св,1283,1,0,0,1,1,2,0
57086246,жен,49,да,нет,плацкарт,1047,1,0,1,2,2,4,1
76702309,жен,29,нет,нет,купе,180,1,1,0,2,2,3,1
97353068,жен,49,да,да,плацкарт,1306,1,1,1,4,4,3,1
30725236,муж,60,да,да,плацкарт,875,1,1,1,1,1,4,0
30351425,муж,70,нет,нет,плацкарт,469,1,1,0,4,4,4,1
60265086,муж,34,нет,да,плацкарт,341,1,0,0,2,2,2,0
92626047,муж,51,нет,да,плацкарт,182,1,1,1,4,4,3,1
11624792,жен,35,нет,нет,плацкарт,647,1,1,0,3,3,4,1
31460441,жен,48,да,да,св,1023,1,0,1,5,5,4,1
9419143,жен,28,нет,да,купе,526,1,1,1,5,5,4,1
32233564,муж,60,нет,нет,св,1536,1,1,0,4,3,2,1
72365041,муж,39,да,нет,плацкарт,890,1,1,0,3,3,4,1
32527031,жен,25,нет,да,плацкарт,544,1,1,1,2,3,2,0
37448248,жен,42,нет,да,купе,249,1,0,0,5,5,3,1
75102364,жен,42,нет,да,плацкарт,2502,1,1,1,5,2,3,1
76068925,жен,26,нет,да,купе,875,1,0,1,5,5,3,1
1017071,муж,50,да,нет,плацкарт,460,1,0,1,2,2,3,0
3084278,муж,43,нет,да,купе,1072,1,1,1,4,4,3,1
61990415,муж,63,да,нет,плацкарт,292,0,1,1,5,5,2,1
53416105,муж,55,нет,да,плацкарт,139,1,1,1,4,4,3,1
87620138,муж,44,нет,нет,плацкарт,1613,1,0,1,2,2,3,1
12845834,жен,50,нет,нет,плацкарт,1051,1,1,1,3,3,2,1
89089837,муж,69,нет,нет,плацкарт,428,1,0,1,3,3,4,1
83247362,муж,45,да,да,плацкарт,726,1,1,1,1,1,4,1
24720557,муж,33,нет,да,плацкарт,356,1,1,1,4,4,2,1
25630576,жен,63,нет,нет,плацкарт,456,1,0,0,3,4,2,1
75435263,муж,47,да,да,плацкарт,519,1,1,1,3,3,2,1
2725447,жен,58,нет,нет,плацкарт,583,1,1,1,3,4,3,1
68910848,муж,50,нет,нет,плацкарт,983,1,0,1,2,4,2,1
40716706,муж,18,нет,нет,плацкарт,462,1,1,0,3,3,5,1
1257282,жен,33,нет,нет,плацкарт,946,1,1,0,1,1,2,0
34607845,муж,43,нет,нет,плацкарт,649,1,1,1,4,4,3,1
16918149,жен,50,нет,да,купе,171,1,0,1,1,1,5,1
93988334,муж,28,нет,нет,плацкарт,516,1,1,1,4,4,2,1
19892859,муж,58,да,да,св,2604,1,0,1,3,3,3,1
35515653,муж,50,да,нет,купе,273,1,1,1,4,4,4,1
45725970,жен,26,нет,да,плацкарт,962,1,1,0,1,3,4,1
14558321,муж,56,нет,нет,св,299,1,1,1,2,3,2,1
64515947,муж,37,нет,да,купе,326,1,0,0,2,2,2,0
88176811,муж,33,нет,да,плацкарт,317,0,1,0,4,3,2,1
15618182,жен,59,нет,нет,купе,150,1,0,0,1,5,3,1
86923510,жен,20,нет,да,плацкарт,1886,1,0,0,2,2,3,1
94727285,муж,52,да,да,купе,2027,1,1,0,1,2,3,0
50685781,жен,24,нет,да,плацкарт,443,1,1,1,2,1,3,1
85958637,муж,35,нет,да,св,139,1,1,1,3,3,4,1
58635910,жен,66,нет,да,купе,584,1,1,0,3,2,2,1
2925186,муж,33,нет,нет,плацкарт,284,0,0,1,3,3,2,1
32528851,жен,58,да,нет,плацкарт,688,1,1,1,5,5,4,1
26886280,муж,40,да,нет,св,1501,1,0,0,5,1,4,1
84343385,муж,29,нет,нет,плацкарт,201,1,0,0,3,4,4,1
20672077,муж,22,нет,да,плацкарт,1126,1,1,0,4,4,4,1
34650482,муж,39,нет,да,плацкарт,155,1,1,0,1,1,2,0
59453907,жен,56,да,да,плацкарт,643,1,0,1,3,3,3,1
44408686,муж,44,нет,да,плацкарт,1245,1,1,0,1,1,4,0
17747072,жен,21,нет,нет,плацкарт,237,0,1,0,4,4,4,1
31166378,жен,59,нет,да,купе,184,1,1,1,2,4,4,1
31548279,жен,51,да,нет,плацкарт,796,1,0,1,4,1,4,1
21266977,муж,37,нет,да,плацкарт,627,1,1,1,4,4,3,1
65803531,муж,43,нет,нет,плацкарт,224,1,1,0,1,2,4,1
93562684,жен,22,нет,да,плацкарт,704,1,0,0,2,2,2,0
8905972,муж,39,да,нет,плацкарт,483,1,1,0,2,2,4,1
33688974,жен,53,нет,нет,св,526,1,1,1,3,2,4,1
16960854,муж,47,да,нет,купе,298,1,1,1,4,4,4,1
86904089,муж,50,нет,да,плацкарт,881,1,0,1,4,4,3,1
85775242,жен,56,нет,да,плацкарт,453,1,1,1,4,5,4,1
37077827,жен,45,нет,да,плацкарт,614,1,0,0,4,1,1,1
74911096,жен,29,нет,нет,плацкарт,637,1,1,0,3,3,4,1
82725333,жен,57,нет,нет,плацкарт,800,1,0,0,2,2,5,1
70391233,жен,37,нет,нет,плацкарт,1537,1,0,1,4,4,2,1
29681802,муж,23,нет,да,плацкарт,944,1,0,1,1,3,4,1
59636089,жен,37,нет,нет,купе,2255,1,1,0,1,1,4,0
19431360,жен,60,да,нет,плацкарт,406,1,0,1,1,1,3,1
3003332,жен,27,да,нет,плацкарт,446,1,0,0,2,4,3,1
2974825,муж,40,нет,да,св,2442,1,1,1,4,3,3,1
87927389,муж,57,нет,нет,плацкарт,774,1,0,1,5,2,4,1
58961107,муж,55,нет,нет,плацкарт,1148,1,1,1,1,1,4,1
69126876,жен,22,нет,да,плацкарт,625,0,1,0,3,3,3,1
