score,duration,promo,robocats,label
3,0.82,0,0,1
7,0.63,0,0,2
10,0.47,1,0,0
1,0.25,0,0,1
2,0.04,0,0,1
10,2.0,1,0,0
10,0.2,1,0,0
0,0.15,0,0,1
7,0.21,0,0,2
9,0.28,1,0,0
10,0.35,1,0,0
8,1.5,0,1,0
4,1.15,0,0,2
0,1.33,0,0,1
1,0.14,0,0,1
0,0.39,0,0,1
3,0.07,0,0,1
10,0.99,1,0,0
10,0.63,1,0,0
9,1.28,1,0,0
5,0.84,1,0,2
0,0.34,0,0,1
6,0.2,1,0,2
7,0.94,0,0,2
4,1.64,0,1,2
10,1.76,1,0,0
2,7.31,0,1,1
10,0.45,1,0,0
10,0.01,1,0,0
8,0.31,1,0,0
0,0.38,0,0,1
0,0.44,0,0,1
3,0.27,0,0,1
7,2.14,0,1,2
8,0.24,1,0,0
4,0.89,0,0,2
6,5.08,0,1,2
9,0.05,0,1,0
0,0.25,0,0,1
0,1.33,0,9,4
10,0.16,1,0,0
4,0.29,0,0,2
8,1.77,1,0,0
3,0.7,0,0,1
6,0.81,1,0,2
8,0.1,1,0,0
2,0.04,0,0,1
0,0.51,0,0,1
10,0.75,1,0,0
0,0.54,0,0,1
3,0.21,0,0,1
9,0.62,0,0,0
10,1.59,0,0,0
4,0.08,0,0,2
3,0.32,0,0,1
0,0.6,0,8,1
4,1.75,1,0,2
1,0.46,0,0,1
10,0.53,0,1,0
9,0.39,1,0,0
4,0.06,0,0,2
8,0.14,0,0,0
0,0.33,0,0,1
4,0.32,1,0,2
5,0.31,0,0,2
4,0.62,0,0,2
0,0.98,0,0,1
10,0.45,1,0,0
10,1.35,1,0,0
1,0.14,0,0,1
3,0.12,0,1,1
4,0.63,0,0,2
10,0.48,1,0,0
7,0.67,0,0,2
10,0.77,1,0,0
6,0.62,0,1,2
0,0.67,0,0,1
1,0.26,0,0,1
10,0.02,1,0,0
0,0.57,0,0,1
9,2.73,1,0,0
0,0.07,0,0,1
4,1.36,0,0,2
3,0.18,0,0,1
9,0.03,1,0,0
9,0.37,1,0,0
4,0.87,1,0,2
0,0.93,0,0,1
7,0.43,0,0,2
2,0.45,0,0,1
10,0.1,1,0,0
0,0.14,0,0,1
2,0.16,0,0,1
2,0.93,0,0,1
2,1.26,0,0,1
10,0.96,1,0,0
10,0.81,1,0,0
5,1.23,0,0,2
3,0.47,0,0,1
6,0.0,0,0,2
4,0.25,0,0,2
1,0.11,0,0,1
0,0.87,0,0,1
8,1.16,1,0,0
10,1.77,1,0,0
0,1.1,0,0,1
0,5.34,0,14,4
2,0.47,0,0,1
10,0.17,1,0,0
8,0.58,0,1,0
6,0.15,0,0,2
7,0.68,0,0,2
9,0.85,0,0,0
10,0.01,1,0,0
2,0.57,0,0,1
3,0.93,0,0,1
0,0.12,0,0,1
8,0.5,1,0,0
5,0.06,0,1,2
3,1.31,1,0,1
2,0.01,0,0,1
1,0.55,0,0,1
1,0.06,0,0,1
9,0.94,1,0,0
4,0.27,0,0,2
0,0.19,0,0,1
9,0.12,1,0,0
10,0.04,1,0,0
1,0.37,0,0,1
0,0.18,0,0,1
8,0.72,1,0,0
5,1.11,0,0,2
10,0.3,1,0,0
1,0.04,0,0,1
10,0.32,1,0,0
2,4.05,0,1,1
8,1.25,1,0,0
1,0.6,0,0,1
10,0.48,1,0,0
10,0.0,1,0,0
10,0.21,1,0,0
4,6.05,0,1,2
10,0.27,1,0,0
1,0.29,0,0,1
0,0.67,0,0,1
5,1.09,0,0,2
10,0.1,1,0,0
10,0.16,1,0,0
9,0.16,1,0,0
2,0.03,0,0,1
7,0.94,1,0,2
7,0.61,0,0,2
3,0.81,1,0,1
0,0.01,0,0,1
3,0.69,0,0,1
10,0.74,1,0,0
9,1.13,0,1,0
10,0.77,1,0,0
0,0.11,0,0,1
4,0.97,0,0,2
2,0.66,0,0,1
1,0.26,1,0,1
0,0.63,0,0,1
9,0.37,1,0,0
9,0.44,1,0,0
10,0.16,1,0,0
1,0.05,0,0,1
3,1.11,0,0,1
8,0.36,1,0,0
3,0.01,0,0,1
5,0.24,1,0,2
10,0.36,1,0,0
0,1.18,0,0,1
10,0.17,1,0,0
1,0.77,0,0,1
3,0.19,0,0,1
2,1.18,0,0,1
2,0.11,0,0,1
4,0.44,0,0,2
7,0.59,1,0,2
9,0.01,1,0,0
4,0.21,0,0,2
1,0.43,0,0,1
1,0.62,0,0,1
2,0.31,0,0,1
10,0.7,1,0,0
7,0.21,0,0,2
9,1.7,0,0,0
0,0.62,0,0,1
10,0.25,1,0,0
2,0.52,0,0,1
5,0.27,0,0,2
5,0.09,0,0,2
10,0.79,1,0,0
0,0.2,0,0,1
1,0.79,0,0,1
6,0.39,0,0,2
2,0.13,0,0,1
3,0.31,0,0,1
6,1.79,0,1,2
3,0.45,0,0,1
4,0.82,0,0,2
10,1.04,1,0,0
8,0.37,1,0,0
10,1.58,1,0,0
4,0.64,0,0,2
1,0.42,0,0,1
10,2.26,0,1,0
6,0.58,0,0,2
10,0.1,1,0,0
10,0.67,1,0,0
0,0.01,0,0,1
0,0.73,0,0,1
10,0.44,1,0,0
2,0.27,0,0,1
8,0.15,1,0,0
7,0.78,0,0,2
10,1.39,1,0,0
1,0.23,0,0,1
5,0.27,1,0,2
10,0.65,1,0,0
4,0.05,1,0,2
10,0.89,1,0,0
9,0.18,1,0,0
10,0.5,1,0,0
6,0.19,1,0,2
10,0.41,0,0,0
1,0.28,0,0,1
10,19.65,1,12,4
7,0.03,0,0,2
2,0.1,0,0,1
9,0.13,1,0,0
8,0.45,1,0,0
4,0.01,0,0,2
1,0.08,0,0,1
10,0.04,1,0,0
8,0.52,1,0,0
0,0.38,0,0,1
3,0.06,0,0,1
10,52.52,1,12,3
10,0.9,1,0,0
0,1.2,0,0,1
8,0.47,1,0,0
0,0.03,0,0,1
4,0.36,1,0,2
1,0.28,0,0,1
8,0.8,1,0,0
6,0.18,1,0,2
4,1.26,0,0,2
10,1.14,1,0,0
0,0.12,0,0,1
5,1.55,0,0,2
3,0.92,1,0,1
7,1.77,0,1,2
5,1.99,1,0,2
4,0.8,0,0,2
10,0.09,1,0,0
4,0.54,0,0,2
10,3.77,0,1,0
4,0.34,0,0,2
3,0.34,0,0,1
0,1.5,0,0,1
4,0.12,0,0,2
0,0.08,0,0,1
6,0.62,0,0,2
0,0.28,0,0,1
8,0.3,1,0,0
7,1.81,1,0,2
9,1.02,1,0,0
0,1.98,0,0,1
6,6.5,0,1,2
9,0.08,1,0,0
1,0.18,0,0,1
3,0.01,1,0,1
10,0.08,0,0,0
1,0.16,0,0,1
0,0.36,0,0,1
0,0.03,1,0,1
2,0.19,0,0,1
10,1.0,0,1,0
8,1.21,0,1,0
3,1.15,0,0,1
3,0.09,0,0,1
0,0.23,0,0,1
10,0.13,1,0,0
4,0.15,0,0,2
0,0.0,0,0,1
0,0.02,0,0,1
8,3.64,0,1,0
10,17.36,1,6,4
5,0.25,0,0,2
7,0.25,1,0,2
4,0.28,0,0,2
10,0.85,1,0,0
6,0.1,0,0,2
0,1.02,1,0,1
0,3.92,0,1,1
4,0.25,1,0,2
0,0.27,0,0,1
6,0.35,0,0,2
5,0.15,1,0,2
5,0.19,0,0,2
10,0.07,1,0,0
6,0.27,0,0,2
5,0.13,1,0,2
5,0.0,0,0,2
10,0.46,1,0,0
7,0.85,0,0,2
2,0.69,1,0,1
10,2.16,1,0,0
9,0.66,1,0,0
10,0.07,0,0,0
2,0.19,0,0,1
9,0.2,0,1,0
10,0.81,1,0,0
0,0.91,0,0,1
4,0.44,0,0,2
10,0.81,1,0,0
1,2.67,0,12,4
10,0.16,1,0,0
0,0.06,0,0,1
0,0.41,0,0,1
10,0.06,1,0,0
4,0.28,0,0,2
2,0.07,0,0,1
6,1.01,1,0,2
8,0.11,0,1,0
10,0.15,1,0,0
2,0.67,0,0,1
1,0.59,0,0,1
4,1.48,0,0,2
7,0.41,1,0,2
5,0.38,0,0,2
0,4.97,0,1,1
7,0.29,1,0,2
0,0.74,0,0,1
6,0.06,0,0,2
5,0.25,1,0,2
10,0.94,1,0,0
10,0.12,1,0,0
8,0.18,1,0,0
4,0.48,0,1,2
3,5.36,0,1,1
10,0.23,0,1,0
4,1.14,0,0,2
8,0.27,1,0,0
3,0.53,0,0,1
10,0.34,1,0,0
0,0.51,0,0,1
10,0.66,1,0,0
4,0.46,1,0,2
0,0.06,0,0,1
2,0.4,0,0,1
0,0.54,0,0,1
0,0.49,0,0,1
10,0.49,1,0,0
5,8.64,0,1,2
2,0.58,0,0,1
4,0.12,0,0,2
0,0.4,0,0,1
8,0.34,1,0,0
3,0.81,0,0,1
6,0.4,0,0,2
10,0.42,1,0,0
10,0.32,1,0,0
7,0.09,0,0,2
9,0.36,1,0,0
8,0.28,1,0,0
4,0.05,0,0,2
4,0.02,0,0,2
0,0.06,0,0,1
8,1.56,1,0,0
10,0.13,1,0,0
2,0.28,0,0,1
1,0.74,0,0,1
9,2.24,1,0,0
3,0.18,0,0,1
3,0.27,0,0,1
2,1.02,1,0,1
5,0.95,1,0,2
9,0.09,1,0,0
1,0.64,0,0,1
5,0.12,0,0,2
0,1.02,0,0,1
0,0.97,0,0,1
0,0.34,0,0,1
10,0.58,1,0,0
5,0.74,0,0,2
2,0.97,0,0,1
0,0.66,0,0,1
5,0.1,1,0,2
3,0.17,0,0,1
9,0.04,1,0,0
0,2.1,0,1,1
10,1.86,1,0,0
9,1.05,1,0,0
9,0.03,1,0,0
9,2.56,0,1,0
5,0.02,0,0,2
10,0.02,1,0,0
10,0.65,1,0,0
7,0.15,1,0,2
0,0.54,0,0,1
2,0.56,0,0,1
4,0.96,0,0,2
3,0.34,0,0,1
0,0.08,0,0,1
6,0.14,0,0,2
0,0.71,0,0,1
3,0.32,0,1,1
10,0.04,1,0,0
7,0.3,1,0,2
10,0.22,1,0,0
2,0.24,0,0,1
10,0.09,1,0,0
2,0.23,0,1,1
10,0.88,1,0,0
3,0.76,1,0,1
6,0.3,0,1,2
10,0.29,1,0,0
10,0.06,1,0,0
1,0.24,0,0,1
4,0.6,0,1,2
6,0.1,1,0,2
0,1.25,0,0,1
8,0.21,1,0,0
0,0.9,0,0,1
10,0.31,1,0,0
0,0.28,0,0,1
8,0.27,1,0,0
4,8.61,0,1,2
8,0.27,1,0,0
8,0.06,0,0,0
5,0.2,0,0,2
7,0.53,1,0,2
7,0.44,1,0,2
7,0.21,1,0,2
6,0.06,0,0,2
7,0.03,0,0,2
1,0.8,0,0,1
4,0.81,0,1,2
6,1.47,0,1,2
1,0.13,0,0,1
10,0.16,0,0,0
5,0.72,0,0,2
3,1.25,0,0,1
7,0.51,0,0,2
8,0.62,1,0,0
0,0.61,0,0,1
10,0.02,1,0,0
8,1.37,0,1,0
6,0.83,0,1,2
10,0.01,1,0,0
0,0.52,0,0,1
6,0.23,1,0,2
10,0.02,1,0,0
10,1.63,1,0,0
9,0.72,1,0,0
10,0.12,1,0,0
7,0.49,1,0,2
0,0.2,0,0,1
9,0.03,1,0,0
7,0.03,0,0,2
1,0.03,0,0,1
2,0.22,0,0,1
6,0.23,1,0,2
6,0.51,0,0,2
10,0.14,1,0,0
10,2.09,1,0,0
10,0.14,1,0,0
6,0.01,1,0,2
9,0.98,1,0,0
0,0.21,0,0,1
0,1.3,0,0,1
2,0.03,0,0,1
4,1.12,0,0,2
8,0.11,1,0,0
10,0.0,1,0,0
10,0.99,1,0,0
0,0.31,0,0,1
5,0.79,0,0,2
10,1.24,1,0,0
9,1.73,1,0,0
5,0.3,0,0,2
6,2.62,0,1,2
4,0.21,0,0,2
3,0.4,0,0,1
7,0.05,1,0,2
2,1.02,0,0,1
10,2.55,1,0,0
0,0.01,0,0,1
10,0.46,1,0,0
0,0.06,0,0,1
5,0.29,0,0,2
0,1.12,0,0,1
9,0.47,1,0,0
8,4.83,0,1,0
6,1.08,1,0,2
5,0.52,0,0,2
6,0.16,1,0,2
8,0.52,1,0,0
8,0.75,1,0,0
3,0.96,0,0,1
5,0.16,0,0,2
3,0.3,0,0,1
7,0.56,0,0,2
3,1.3,0,1,1
0,0.16,0,0,1
4,0.77,0,0,2
2,1.45,1,0,1
3,0.68,0,0,1
8,0.83,1,0,0
10,0.64,0,0,0
10,0.21,1,0,0
10,0.24,1,0,0
4,0.06,0,0,2
2,0.72,0,0,1
10,0.26,0,0,0
0,0.89,0,0,1
4,0.15,0,0,2
10,1.86,1,0,0
4,1.19,0,0,2
6,2.1,0,0,2
6,0.78,1,0,2
5,1.35,0,0,2
10,0.48,1,0,0
2,1.32,0,0,1
5,0.37,0,1,2
3,1.17,0,0,1
9,0.01,1,0,0
0,0.08,0,0,1
10,0.34,1,0,0
8,0.41,1,0,0
4,0.13,0,0,2
5,0.31,1,0,2
9,0.29,1,0,0
0,0.04,0,0,1
7,0.43,1,0,2
4,0.03,0,0,2
10,0.34,1,0,0
2,0.5,1,0,1
4,0.5,0,0,2
10,1.85,1,0,0
1,0.03,0,0,1
2,0.18,0,0,1
1,0.59,0,0,1
2,0.53,0,1,1
10,0.06,1,0,0
0,0.3,0,0,1
10,0.08,1,0,0
0,0.98,0,0,1
6,0.65,0,0,2
10,1.0,1,0,0
9,0.88,1,0,0
10,0.13,1,0,0
8,1.39,1,0,0
5,1.56,0,0,2
5,13.02,0,1,4
4,0.11,0,0,2
4,0.03,0,0,2
9,0.74,1,0,0
8,0.22,1,0,0
10,0.19,1,0,0
0,0.98,0,0,1
5,0.04,0,0,2
6,0.17,0,0,2
0,0.23,0,0,1
10,0.6,1,0,0
8,0.84,1,0,0
3,0.65,1,0,1
4,0.11,0,0,2
2,1.3,0,0,1
10,0.19,1,0,0
0,0.21,0,0,1
10,0.06,1,0,0
4,0.77,0,1,2
0,0.68,0,0,1
0,0.08,0,0,1
2,0.15,0,0,1
0,0.46,0,0,1
3,0.76,0,0,1
0,0.47,0,0,1
0,0.26,0,0,1
2,0.46,0,0,1
6,0.1,1,0,2
10,0.06,1,0,0
9,1.6,1,0,0
10,0.17,1,0,0
10,0.64,1,0,0
2,0.48,0,0,1
10,0.92,1,0,0
10,0.54,1,0,0
5,0.21,0,0,2
8,0.06,0,1,0
7,0.54,1,0,2
7,0.18,1,0,2
0,0.54,0,0,1
7,1.72,1,0,2
10,0.33,1,0,0
7,1.78,0,1,2
1,0.06,0,0,1
10,0.19,1,0,0
0,0.35,0,0,1
4,0.67,0,1,2
2,0.8,0,0,1
0,0.64,0,0,1
6,0.63,0,0,2
5,0.14,0,0,2
10,0.91,1,0,0
7,1.51,0,0,2
10,1.15,1,0,0
10,0.28,1,0,0
9,1.33,1,0,0
0,0.07,0,0,1
0,0.44,0,0,1
6,0.59,1,0,2
10,0.38,1,0,0
10,0.59,1,0,0
3,0.99,0,0,1
0,0.25,0,0,1
10,0.34,0,1,0
6,0.04,0,0,2
10,0.24,1,0,0
10,0.25,1,0,0
5,0.14,0,0,2
9,0.13,1,0,0
3,0.06,1,0,1
9,0.71,1,0,0
10,2.09,1,0,0
6,0.42,1,0,2
10,1.31,0,0,0
0,1.12,0,0,1
10,37.97,1,15,3
9,0.03,0,0,0
7,1.28,0,1,2
6,0.28,1,0,2
4,0.88,0,0,2
2,0.73,0,0,1
9,0.99,1,0,0
6,0.05,1,0,2
10,0.06,1,0,0
0,1.65,0,0,1
0,0.02,0,0,1
10,0.62,1,0,0
2,0.89,0,0,1
4,1.34,1,0,2
0,0.34,0,0,1
8,0.05,1,0,0
8,0.16,1,0,0
0,0.25,0,0,1
10,1.6,1,0,0
3,0.1,0,0,1
8,0.76,1,0,0
5,0.28,0,1,2
0,0.1,0,0,1
0,0.15,0,0,1
0,0.66,0,0,1
6,13.29,0,1,4
3,2.0,0,0,1
7,1.08,1,0,2
8,0.54,1,0,0
0,0.67,0,0,1
6,0.49,0,0,2
1,0.12,0,0,1
0,0.42,0,0,1
9,0.82,1,0,0
9,0.37,1,0,0
0,0.45,0,0,1
10,2.64,1,0,0
6,0.04,1,0,2
3,0.22,1,0,1
0,0.74,0,0,1
1,9.55,0,1,1
0,0.21,0,0,1
2,0.04,0,0,1
5,1.33,1,0,2
3,0.02,0,0,1
4,0.57,0,0,2
2,0.03,0,0,1
8,1.17,1,0,0
2,1.18,0,0,1
10,0.33,1,0,0
7,0.7,1,0,2
3,0.2,0,0,1
10,2.99,1,0,0
6,1.29,0,0,2
5,1.67,0,0,2
4,0.73,0,0,2
6,0.11,0,0,2
5,0.85,0,1,2
10,0.26,1,0,0
10,0.33,1,0,0
9,0.26,1,0,0
10,0.45,1,0,0
10,0.27,1,0,0
2,0.12,0,0,1
7,0.2,1,0,2
5,0.36,0,0,2
8,0.11,1,0,0
5,0.12,0,0,2
10,0.7,1,0,0
5,3.24,0,1,2
9,0.49,1,0,0
9,0.51,1,0,0
7,0.5,0,0,2
10,0.8,1,0,0
7,0.7,0,0,2
7,0.76,1,0,2
3,0.98,0,0,1
2,0.03,0,0,1
2,0.1,0,0,1
6,0.69,1,0,2
0,0.0,0,0,1
8,0.26,0,1,0
10,0.3,1,0,0
0,0.88,0,0,1
10,0.36,1,0,0
0,0.2,0,0,1
10,1.34,1,0,0
4,0.26,0,0,2
10,0.01,0,1,0
0,0.14,0,0,1
10,0.13,1,0,0
5,1.11,0,0,2
3,0.17,0,0,1
0,1.18,0,1,1
3,0.15,0,0,1
9,0.23,1,0,0
0,0.12,0,0,1
10,0.53,1,0,0
10,0.54,1,0,0
10,0.9,1,0,0
0,0.11,0,0,1
0,0.73,0,0,1
10,0.49,1,0,0
1,0.56,0,0,1
10,1.29,1,0,0
7,0.09,1,0,2
2,1.1,0,0,1
10,0.31,1,0,0
3,0.18,1,0,1
10,0.12,1,0,0
5,1.22,0,1,2
0,0.05,0,0,1
9,0.72,1,0,0
4,0.4,1,0,2
2,0.55,0,0,1
6,0.02,0,0,2
10,0.78,1,0,0
0,0.39,0,0,1
10,0.18,1,0,0
6,0.71,0,0,2
8,0.35,1,0,0
0,0.97,0,0,1
4,0.09,1,0,2
3,0.6,0,0,1
7,0.0,1,0,2
7,0.81,0,0,2
3,0.35,0,1,1
6,0.78,1,0,2
0,0.96,0,0,1
8,0.31,0,0,0
0,0.81,0,0,1
10,0.2,0,1,0
2,0.53,0,0,1
1,0.54,0,0,1
9,0.66,1,0,0
0,0.08,0,0,1
0,0.6,0,0,1
0,0.54,0,0,1
3,0.66,0,0,1
4,0.06,0,0,2
0,1.85,0,1,1
9,1.03,1,0,0
3,0.43,0,0,1
10,0.09,1,0,0
3,0.2,1,0,1
1,4.54,0,1,1
0,1.31,0,0,1
8,0.07,1,0,0
9,0.59,1,0,0
10,0.22,1,0,0
10,0.44,0,1,0
8,1.11,1,0,0
4,0.08,0,0,2
6,0.94,0,0,2
10,0.89,1,0,0
8,0.02,1,0,0
7,0.99,1,0,2
2,0.21,0,0,1
10,0.29,1,0,0
1,0.51,0,0,1
1,1.02,0,0,1
8,1.19,1,0,0
8,0.85,1,0,0
10,0.32,1,0,0
10,0.1,1,0,0
4,1.04,0,0,2
3,1.78,0,0,1
10,0.46,1,0,0
3,1.24,0,0,1
10,0.7,1,0,0
9,0.11,1,0,0
4,1.09,0,0,2
7,0.66,0,1,2
10,1.65,1,0,0
7,0.34,1,0,2
0,0.08,0,0,1
9,0.49,1,0,0
9,1.87,0,1,0
1,0.91,0,0,1
9,0.23,1,0,0
9,1.05,0,0,0
8,0.75,0,0,0
7,1.78,0,1,2
0,0.62,0,0,1
4,1.85,0,1,2
2,0.18,0,0,1
0,1.44,0,0,1
10,0.26,1,0,0
7,0.0,1,0,2
9,0.18,1,0,0
4,0.03,0,0,2
10,0.15,1,0,0
0,0.61,0,0,1
0,0.8,0,0,1
8,0.35,1,0,0
8,0.21,1,0,0
10,0.15,1,0,0
0,0.14,0,0,1
9,0.2,1,0,0
9,1.26,1,0,0
8,1.4,1,0,0
10,0.2,1,0,0
8,0.17,1,0,0
6,0.95,1,0,2
8,0.07,1,0,0
0,0.58,0,0,1
3,1.68,0,1,1
0,0.83,0,0,1
2,0.24,0,0,1
0,0.83,0,1,1
10,0.3,1,0,0
7,0.56,1,0,2
9,0.44,0,0,0
5,0.63,1,0,2
10,0.39,0,0,0
2,0.82,0,0,1
3,0.13,1,0,1
8,1.51,1,0,0
9,0.41,1,0,0
5,0.94,0,0,2
2,0.58,0,0,1
4,0.42,0,0,2
8,0.31,1,0,0
10,0.33,1,0,0
10,0.61,1,0,0
5,6.12,0,1,2
0,0.29,0,0,1
8,0.03,1,0,0
6,0.45,0,0,2
6,0.03,0,0,2
1,0.02,0,0,1
10,0.49,1,0,0
10,0.01,1,0,0
8,0.38,1,0,0
10,0.21,1,0,0
0,0.58,0,0,1
10,0.18,1,0,0
10,1.55,1,0,0
10,0.02,1,0,0
8,0.17,1,0,0
6,0.57,1,0,2
2,0.99,0,0,1
1,0.31,0,0,1
10,1.05,1,0,0
7,0.46,1,0,2
3,1.91,0,1,1
3,0.62,0,0,1
1,0.06,0,0,1
6,0.18,0,0,2
0,0.09,0,0,1
10,0.09,1,0,0
6,0.46,1,0,2
8,0.03,1,0,0
4,0.08,0,0,2
8,0.2,0,0,0
4,0.18,0,0,2
3,1.49,0,0,1
9,0.31,1,0,0
0,1.17,0,0,1
10,3.9,1,9,4
2,0.56,0,0,1
2,0.87,0,0,1
9,0.21,1,0,0
10,0.76,1,0,0
0,0.88,0,0,1
2,0.22,0,0,1
3,0.44,0,0,1
2,0.44,0,0,1
4,0.63,1,0,2
2,0.65,0,0,1
10,0.43,0,0,0
2,1.15,0,0,1
2,1.11,0,0,1
0,0.72,1,0,1
0,0.08,0,0,1
0,0.08,0,0,1
0,0.18,0,0,1
7,0.01,1,0,2
1,0.94,0,0,1
10,0.47,0,0,0
10,0.2,1,0,0
10,3.36,1,0,0
4,1.39,1,0,2
10,0.06,1,0,0
7,0.77,0,0,2
7,0.18,0,0,2
2,0.02,0,0,1
7,0.01,1,0,2
8,1.17,1,0,0
10,0.3,1,0,0
1,0.07,0,0,1
3,0.23,1,0,1
0,0.82,0,0,1
10,0.09,1,0,0
0,0.13,0,0,1
9,0.99,0,0,0
4,0.66,1,0,2
10,0.34,1,0,0
5,0.17,0,0,2
7,0.38,1,0,2
2,0.03,0,0,1
10,1.41,1,0,0
3,0.22,0,0,1
10,0.27,1,0,0
0,0.58,0,0,1
8,0.4,1,0,0
4,0.15,0,1,2
10,0.42,1,0,0
8,1.67,0,1,0
3,0.11,0,0,1
1,1.8,0,0,1
8,0.01,1,0,0
9,0.05,1,0,0
6,0.33,1,0,2
1,0.09,0,0,1
10,41.69,1,9,3
10,0.11,1,0,0
10,0.06,0,0,0
10,3.2,1,0,0
3,0.18,0,0,1
10,0.38,1,0,0
10,1.69,1,0,0
7,0.53,1,0,2
6,0.46,1,0,2
9,1.37,1,0,0
3,0.12,0,0,1
9,2.16,1,0,0
9,0.01,0,1,0
2,0.84,0,0,1
2,0.14,1,0,1
1,0.51,0,0,1
6,0.07,0,0,2
9,0.24,1,0,0
4,0.04,0,0,2
10,0.43,0,0,0
0,1.07,0,0,1
7,0.04,1,0,2
10,0.06,1,0,0
10,0.7,1,0,0
0,0.31,0,0,1
0,0.01,0,0,1
5,0.39,0,0,2
10,0.76,1,0,0
2,1.29,0,0,1
4,1.3,0,0,2
6,0.32,0,1,2
0,1.24,0,0,1
10,0.29,1,0,0
8,0.24,1,0,0
0,0.76,0,0,1
7,0.11,0,0,2
10,0.56,1,0,0
4,1.54,0,0,2
10,6.62,1,8,4
0,0.23,0,0,1
10,0.35,1,0,0
6,0.09,1,0,2
9,0.53,0,0,0
0,0.4,0,0,1
8,0.12,1,0,0
4,1.55,0,1,2
1,1.44,0,0,1
7,4.04,0,7,4
0,0.47,0,0,1
3,0.11,0,0,1
0,0.11,0,0,1
4,0.16,0,1,2
1,0.4,0,0,1
10,0.46,1,0,0
0,0.04,0,0,1
5,0.7,1,0,2
10,0.04,1,0,0
6,0.78,1,0,2
0,1.62,0,0,1
3,0.86,0,0,1
7,0.67,1,0,2
2,0.49,0,0,1
2,0.35,0,0,1
4,7.93,0,1,2
1,0.37,0,0,1
2,0.0,0,0,1
10,0.18,1,0,0
0,0.9,0,0,1
10,1.77,1,0,0
7,0.3,1,0,2
3,0.05,0,0,1
10,0.04,0,1,0
2,0.38,0,0,1
8,0.39,1,0,0
7,0.25,0,0,2
4,0.25,0,0,2
0,0.02,0,0,1
9,0.07,1,0,0
0,0.36,0,0,1
7,0.02,0,0,2
1,0.18,0,0,1
1,0.18,0,0,1
10,0.64,1,0,0
0,0.6,0,0,1
5,1.15,0,0,2
10,5.01,0,1,0
9,0.65,1,0,0
1,0.28,0,0,1
10,1.34,1,0,0
4,0.3,0,0,2
5,0.64,0,0,2
6,0.39,0,0,2
9,0.41,0,0,0
3,0.14,0,1,1
0,0.59,0,0,1
3,0.02,0,0,1
3,0.22,0,0,1
4,0.09,0,0,2
8,0.68,1,0,0
4,1.6,0,0,2
9,0.02,1,0,0
9,0.09,1,0,0
0,1.49,0,0,1
10,0.03,1,0,0
5,1.55,0,1,2
8,0.06,1,0,0
3,1.26,0,0,1
10,1.17,1,0,0
10,0.52,1,0,0
8,0.27,1,0,0
5,0.31,0,0,2
3,0.01,0,0,1
1,0.96,0,0,1
4,0.75,1,0,2
1,0.21,0,0,1
10,0.64,1,0,0
0,0.09,0,0,1
4,0.9,0,0,2
9,0.28,0,0,0
8,0.71,1,0,0
3,0.29,0,0,1
1,2.84,0,1,1
9,0.53,1,0,0
10,0.12,1,0,0
2,0.16,0,0,1
3,0.93,0,0,1
1,0.07,0,0,1
0,0.17,0,0,1
2,1.43,0,0,1
10,0.06,1,0,0
