total_area,living_area,ceil_height,rooms_number,city_center_distance,years_after_repair,building_type,parking_place,price
53.4,23.0,3.2,1.0,1.5,4.0,жб панель,да,2708860.0
73.5,43.4,2.7,3.0,9.3,1.0,монолитно-каркасный,нет,4890350.0
78.3,46.2,3.0,3.0,4.6,10.0,кирпич,да,4874330.0
70.0,40.6,2.8,2.0,6.6,5.0,кирпич,да,4617000.0
64.0,34.6,3.0,3.0,8.6,12.0,кирпич,да,2736400.0
63.0,37.2,3.3,3.0,10.2,6.0,жб панель,нет,2871700.0
79.0,44.2,2.8,3.0,5.4,6.0,жб панель,нет,4809300.0
69.2,35.3,3.2,2.0,8.4,1.0,монолитно-каркасный,нет,5228120.0
59.3,33.2,2.7,2.0,7.9,2.0,кирпич,да,3289750.0
47.6,20.9,3.0,1.0,5.7,3.0,жб панель,нет,1940760.0
62.7,39.5,2.8,3.0,3.7,3.0,кирпич,нет,3331840.0
65.0,34.5,2.9,3.0,4.6,7.0,монолитно-каркасный,да,3217000.0
67.1,40.3,2.9,2.0,9.7,3.0,монолитно-каркасный,да,4280890.0
45.1,21.6,2.8,1.0,6.2,3.0,монолитно-каркасный,да,1889920.0
48.0,20.2,3.2,1.0,7.4,1.0,монолитно-каркасный,нет,2469200.0
34.0,17.7,3.2,1.0,1.2,1.0,жб панель,нет,1708200.0
78.4,40.8,2.7,4.0,5.4,8.0,жб панель,да,4556080.0
70.9,41.1,3.3,3.0,5.6,5.0,монолитно-каркасный,да,4953100.0
60.0,25.2,2.9,2.0,3.2,1.0,монолитно-каркасный,да,3548000.0
94.5,39.7,3.5,4.0,7.3,4.0,монолитно-каркасный,да,5923400.0
58.5,27.5,3.0,2.0,8.1,1.0,кирпич,нет,3831900.0
65.0,39.6,2.7,2.0,6.1,2.0,жб панель,да,3722000.0
48.7,21.9,3.0,2.0,11.7,11.0,монолитно-каркасный,да,2151620.0
52.0,23.9,3.3,2.0,9.3,5.0,монолитно-каркасный,да,3924400.0
61.0,30.5,2.9,3.0,7.4,9.0,жб панель,да,3512600.0
136.3,65.4,2.7,4.0,6.4,6.0,кирпич,да,8318280.000000001
82.9,49.7,3.3,2.0,1.4,6.0,кирпич,да,4716380.0
60.0,24.6,2.9,2.0,5.9,2.0,монолитно-каркасный,да,3882000.0
81.0,34.0,2.8,3.0,9.7,15.0,кирпич,да,3015200.0
62.2,37.3,2.8,3.0,4.5,4.0,кирпич,нет,4244920.0
77.8,32.7,2.8,3.0,7.2,11.0,жб панель,нет,4753440.0
137.7,73.0,2.7,4.0,5.0,4.0,кирпич,да,7067749.999999999
85.0,47.6,3.0,3.0,1.8,6.0,монолитно-каркасный,да,4377500.0
66.6,35.3,2.8,2.0,8.5,10.0,кирпич,да,4023180.0
99.4,48.7,3.1,3.0,7.2,14.0,кирпич,да,5748860.0
63.0,37.8,3.1,3.0,8.5,1.0,кирпич,нет,3017800.0
78.8,45.7,3.0,3.0,5.2,1.0,кирпич,нет,4825600.0
67.6,29.1,2.7,3.0,6.4,7.0,кирпич,да,4247000.0
62.0,39.1,3.3,3.0,6.0,3.0,кирпич,нет,4158600.0
61.7,30.9,2.7,3.0,9.7,5.0,монолитно-каркасный,да,4297540.0
61.4,31.3,2.9,3.0,6.6,1.0,кирпич,нет,2975920.0
120.3,74.6,3.1,4.0,0.7,7.0,кирпич,нет,7560180.0
76.7,42.2,3.1,3.0,6.2,1.0,монолитно-каркасный,да,5327730.0
48.8,31.2,2.8,1.0,8.1,10.0,кирпич,нет,2992240.0
74.2,40.8,2.7,3.0,8.7,6.0,кирпич,нет,4041960.0
64.4,30.3,3.2,2.0,3.3,9.0,кирпич,да,3862480.000000001
91.5,54.9,2.9,4.0,3.2,15.0,жб панель,нет,4901200.0
59.0,33.0,2.8,2.0,0.5,16.0,кирпич,нет,2499900.0
57.5,23.0,2.7,1.0,8.3,8.0,жб панель,нет,2518000.0
62.0,37.8,3.3,3.0,1.0,6.0,жб панель,нет,4706400.0
49.8,22.4,3.5,1.0,11.1,1.0,кирпич,нет,2847640.0
92.9,43.7,2.8,3.0,6.1,2.0,кирпич,да,4899680.0
61.1,30.6,3.0,3.0,6.9,2.0,жб панель,нет,2808200.0
59.8,26.3,2.7,2.0,9.7,3.0,кирпич,нет,4188500.0
68.0,36.7,2.8,2.0,9.4,12.0,кирпич,да,3834000.0
67.6,34.5,2.8,3.0,4.1,8.0,жб панель,нет,3483479.9999999995
44.0,24.6,2.8,1.0,4.8,4.0,жб панель,нет,2784800.0
65.5,38.0,2.8,2.0,6.1,8.0,жб панель,нет,3869400.0
61.6,30.2,3.0,3.0,2.6,5.0,кирпич,да,4179200.0
67.0,28.1,3.5,3.0,5.8,3.0,кирпич,нет,4517900.0
55.5,29.4,2.8,1.0,8.0,7.0,жб панель,да,3108100.0
93.0,49.3,2.7,2.0,2.6,3.0,кирпич,нет,6364200.0
58.0,24.4,2.7,2.0,7.2,12.0,жб панель,да,2300400.0
68.9,35.1,3.2,3.0,7.5,6.0,кирпич,да,3809310.000000001
63.9,31.9,3.0,2.0,5.3,9.0,монолитно-каркасный,нет,4302300.0
50.2,25.1,2.8,1.0,7.3,10.0,кирпич,да,2880840.0
57.7,27.7,2.8,2.0,7.6,12.0,кирпич,да,3747710.0
43.0,21.5,3.0,1.0,6.1,16.0,монолитно-каркасный,нет,2526000.0
59.8,24.5,2.8,1.0,2.7,2.0,кирпич,да,4475540.0
54.0,22.1,3.1,2.0,4.7,3.0,кирпич,да,2705000.0
52.0,21.3,3.1,1.0,4.1,19.0,кирпич,нет,2441200.0
81.9,33.6,3.1,4.0,7.0,2.0,кирпич,нет,4968750.0
57.0,23.4,2.8,1.0,7.0,1.0,монолитно-каркасный,да,2652700.0
64.0,32.0,2.7,3.0,6.9,0.0,жб панель,да,3328400.0
54.0,32.4,2.7,1.0,4.4,1.0,жб панель,да,2994800.0
74.0,43.7,2.7,3.0,3.7,3.0,монолитно-каркасный,нет,4411200.0
50.2,28.1,3.1,1.0,8.4,6.0,жб панель,нет,2301240.0
64.7,35.6,3.4,2.0,6.1,3.0,монолитно-каркасный,нет,4927290.0
52.8,22.2,3.0,2.0,9.9,4.0,кирпич,нет,2378240.0
71.8,35.2,2.7,3.0,8.5,17.0,монолитно-каркасный,да,2763840.0
49.5,24.8,3.0,2.0,7.7,1.0,жб панель,нет,3368700.0
68.0,42.8,2.7,2.0,6.3,9.0,жб панель,да,3758400.0
72.0,38.9,3.3,4.0,9.2,3.0,жб панель,да,5168400.0
58.4,27.4,2.7,2.0,2.4,9.0,монолитно-каркасный,нет,2378000.0
51.5,27.8,2.7,2.0,3.5,3.0,кирпич,да,3110000.0
87.0,49.6,2.8,4.0,5.8,7.0,жб панель,да,5798500.0
99.0,45.5,2.9,3.0,0.8,9.0,жб панель,нет,5931600.0
65.6,38.0,2.9,3.0,10.9,10.0,кирпич,да,2519039.9999999995
153.8,64.6,2.7,5.0,7.7,2.0,жб панель,нет,8093440.0
63.0,32.1,2.7,2.0,8.7,3.0,монолитно-каркасный,да,4134700.0
71.7,38.7,2.9,4.0,3.2,2.0,кирпич,нет,4732760.0
55.6,22.8,3.4,2.0,9.4,10.0,кирпич,нет,2509200.0
75.3,37.6,2.8,2.0,5.6,3.0,жб панель,да,4097400.0
87.7,51.7,2.8,4.0,1.3,10.0,кирпич,нет,5025210.0
89.7,40.4,2.9,4.0,8.1,15.0,монолитно-каркасный,нет,4915730.0
64.9,41.5,2.7,3.0,6.1,5.0,кирпич,нет,4397380.0
67.2,33.6,2.7,3.0,3.5,1.0,монолитно-каркасный,да,5170000.0
70.0,32.2,2.7,2.0,5.2,10.0,кирпич,нет,3950000.0
60.0,25.2,2.7,2.0,2.2,9.0,монолитно-каркасный,нет,3078000.0
157.7,85.2,3.0,4.0,0.8,8.0,жб панель,да,8393150.0
58.9,38.3,2.8,2.0,5.6,11.0,кирпич,нет,2681700.0
62.0,27.3,2.8,3.0,11.5,3.0,жб панель,да,2915400.0
70.3,42.9,2.8,3.0,0.1,9.0,жб панель,нет,4511760.0
66.2,41.7,2.7,3.0,11.8,10.0,кирпич,да,3670280.0
98.0,58.8,3.3,4.0,10.7,1.0,монолитно-каркасный,нет,5730600.0
47.0,23.0,3.1,1.0,6.4,2.0,кирпич,нет,1949300.0
67.9,29.2,2.7,3.0,5.9,5.0,монолитно-каркасный,да,2992520.0000000005
69.6,34.1,3.2,3.0,1.3,3.0,кирпич,нет,4500080.0
75.6,45.4,2.7,2.0,4.7,12.0,кирпич,нет,3058999.9999999995
67.9,42.1,3.3,2.0,9.2,4.0,кирпич,нет,4514620.0
68.0,41.5,3.5,2.0,7.7,2.0,кирпич,нет,4241600.0
68.0,38.8,3.2,2.0,9.9,3.0,монолитно-каркасный,нет,3886400.0
56.5,30.5,3.5,2.0,2.7,4.0,жб панель,нет,4019050.0
74.2,37.1,2.7,3.0,8.8,7.0,жб панель,нет,4116480.0
65.5,30.8,3.2,3.0,4.8,5.0,кирпич,нет,4821350.0
89.2,55.3,3.3,3.0,0.8,9.0,монолитно-каркасный,да,4578760.0
65.2,27.4,3.0,3.0,4.3,19.0,жб панель,да,3194280.0
65.6,37.4,3.0,2.0,11.7,1.0,кирпич,да,4088560.0
68.7,41.2,2.7,2.0,13.8,6.0,жб панель,нет,2546220.0
71.0,42.6,3.1,4.0,13.8,10.0,кирпич,да,3865200.0
93.5,38.3,3.2,4.0,6.7,8.0,кирпич,нет,5867550.0
65.0,30.6,3.4,3.0,10.5,6.0,жб панель,нет,4268500.0
66.7,28.7,2.8,3.0,7.3,2.0,жб панель,нет,4345370.0
78.4,47.8,2.7,4.0,2.8,5.0,кирпич,да,3915040.0
74.7,33.6,3.1,3.0,4.5,2.0,кирпич,да,4013570.0
80.0,50.4,2.7,4.0,6.2,10.0,жб панель,нет,4028000.0
64.0,34.6,3.3,3.0,7.4,3.0,кирпич,нет,2967600.0
64.4,33.5,2.7,2.0,7.6,2.0,кирпич,нет,3423000.0000000005
59.0,26.0,2.8,2.0,5.6,7.0,монолитно-каркасный,да,3032000.0
65.7,26.9,3.3,2.0,3.3,8.0,кирпич,да,4830550.0
59.2,37.9,2.7,2.0,2.2,7.0,жб панель,да,2464000.0
101.0,56.6,3.2,4.0,8.6,13.0,кирпич,нет,6221700.0
72.4,41.3,2.8,4.0,9.0,2.0,жб панель,нет,4432640.0
63.7,30.6,3.0,2.0,6.3,10.0,жб панель,нет,4294460.0
71.5,37.2,3.2,3.0,6.2,5.0,жб панель,нет,4549900.0
105.4,64.3,2.9,4.0,9.1,5.0,монолитно-каркасный,да,6178620.0
214.3,96.4,2.8,7.0,9.3,4.0,жб панель,нет,12803650.0
84.3,44.7,2.8,4.0,5.9,2.0,кирпич,нет,5020150.0
75.9,35.7,2.7,3.0,11.3,3.0,жб панель,нет,3400040.0
61.7,25.9,3.1,2.0,1.2,8.0,кирпич,нет,4286250.0
85.0,38.2,2.8,3.0,7.0,9.0,жб панель,нет,5116000.0
51.0,27.0,3.5,1.0,7.5,11.0,кирпич,нет,3356200.0
54.0,30.8,2.7,1.0,6.1,6.0,кирпич,да,3752400.0
60.3,33.8,3.4,3.0,1.7,8.0,жб панель,да,3812420.0
66.5,28.6,2.7,3.0,7.3,11.0,кирпич,да,2927600.0
69.0,35.2,3.0,3.0,7.3,11.0,монолитно-каркасный,нет,3370500.0
73.0,43.8,2.7,3.0,7.7,9.0,монолитно-каркасный,нет,4002500.0
70.3,32.3,2.8,3.0,8.6,2.0,монолитно-каркасный,нет,3863940.0
97.7,56.7,3.0,3.0,3.6,6.0,монолитно-каркасный,да,4815910.0
57.0,29.1,3.1,1.0,8.1,9.0,жб панель,да,2600800.0
127.2,58.5,3.5,4.0,4.7,2.0,кирпич,нет,8306320.0
70.0,44.8,2.7,2.0,6.3,7.0,кирпич,да,4800000.0
63.5,33.7,3.2,3.0,10.3,8.0,монолитно-каркасный,да,2707900.0
84.0,48.7,2.7,2.0,10.7,8.0,жб панель,нет,4370800.0
64.4,37.4,2.7,3.0,9.6,8.0,кирпич,нет,2512360.0000000005
94.7,48.3,2.9,4.0,7.7,4.0,кирпич,нет,5600020.0
59.5,37.5,2.9,2.0,6.9,6.0,жб панель,нет,4246050.0
50.2,25.6,2.9,1.0,0.1,2.0,кирпич,да,3078180.0
67.1,39.6,2.9,3.0,6.5,5.0,кирпич,да,3978120.0
145.0,58.0,3.0,5.0,2.4,4.0,жб панель,нет,9120000.0
56.4,27.6,3.3,2.0,10.3,4.0,жб панель,нет,3253760.0
47.1,26.8,3.1,1.0,10.2,2.0,монолитно-каркасный,да,3797740.0
55.0,30.8,2.8,1.0,11.5,5.0,кирпич,нет,2325000.0
46.0,24.8,3.2,2.0,6.5,3.0,жб панель,да,3285800.0
63.6,32.4,2.8,2.0,5.4,4.0,жб панель,нет,3635120.0
89.0,36.5,3.0,3.0,7.9,8.0,кирпич,да,4236200.0
69.8,37.7,2.7,3.0,5.1,10.0,монолитно-каркасный,нет,3545240.0
75.8,40.2,2.7,3.0,3.0,4.0,монолитно-каркасный,да,4947040.0
65.3,42.4,2.9,2.0,9.1,3.0,кирпич,да,3855980.0
62.0,34.1,3.1,2.0,0.3,4.0,монолитно-каркасный,да,3019400.0
53.0,30.7,3.0,1.0,6.4,4.0,жб панель,нет,3339900.0
74.0,43.7,3.2,2.0,4.1,4.0,монолитно-каркасный,да,4119600.0
70.2,32.3,2.8,4.0,6.6,7.0,кирпич,нет,3442460.0
79.0,41.1,3.4,3.0,4.5,13.0,кирпич,да,4370300.0
104.0,43.7,2.8,4.0,3.8,2.0,жб панель,нет,7326800.0
59.7,38.8,3.2,2.0,6.3,4.0,монолитно-каркасный,нет,2734240.0
136.2,79.0,3.0,5.0,5.7,3.0,монолитно-каркасный,нет,7532179.999999999
68.0,40.1,2.7,2.0,8.3,4.0,монолитно-каркасный,да,4520800.0
45.0,23.9,3.0,2.0,2.6,3.0,жб панель,нет,2438500.0
74.0,42.9,3.1,3.0,7.4,4.0,монолитно-каркасный,нет,3869400.0
58.0,30.7,2.8,2.0,1.3,10.0,монолитно-каркасный,нет,2658800.0
60.0,30.0,3.0,1.0,8.1,1.0,жб панель,нет,4506000.0
119.1,70.3,2.7,4.0,7.9,14.0,монолитно-каркасный,да,5833540.0
62.6,40.1,2.8,3.0,5.4,4.0,кирпич,нет,3050800.0
74.2,36.4,2.9,2.0,0.7,1.0,монолитно-каркасный,да,4910740.0
48.7,27.3,3.0,1.0,8.6,6.0,кирпич,нет,2553370.0
60.5,33.9,3.3,2.0,4.8,2.0,кирпич,нет,3263100.0
63.8,40.2,2.7,2.0,7.3,0.0,монолитно-каркасный,да,2936280.0
65.9,34.9,3.2,3.0,7.7,3.0,жб панель,нет,4370820.0
72.0,42.5,3.0,4.0,5.1,3.0,жб панель,да,5037600.0
57.3,33.2,2.8,2.0,4.7,0.0,жб панель,да,3959790.0
53.0,24.4,2.8,2.0,2.7,5.0,монолитно-каркасный,нет,2608300.0
69.2,42.2,3.3,2.0,3.6,9.0,жб панель,нет,3849760.0
62.0,40.3,2.8,2.0,8.6,3.0,жб панель,да,4068200.0
64.0,28.2,2.9,3.0,10.3,6.0,жб панель,да,3602400.0
81.0,39.7,2.7,4.0,7.3,7.0,монолитно-каркасный,да,4503600.0
104.7,50.3,3.4,4.0,4.7,0.0,кирпич,нет,6795970.0
67.4,38.4,3.0,3.0,8.1,1.0,жб панель,нет,3270740.0000000005
67.0,33.5,2.7,3.0,5.7,11.0,кирпич,да,4314600.0
68.0,38.1,2.9,2.0,5.6,6.0,монолитно-каркасный,да,4818800.0
70.0,37.1,2.8,2.0,3.1,9.0,жб панель,да,3987000.0
63.0,27.7,3.1,3.0,11.3,3.0,кирпич,нет,3308100.0
78.8,48.9,3.0,2.0,7.3,1.0,монолитно-каркасный,да,4081040.0
60.0,26.4,3.1,2.0,3.4,3.0,монолитно-каркасный,да,4422000.0
63.0,34.0,3.3,2.0,7.1,13.0,кирпич,нет,3844200.0
62.6,37.6,3.3,2.0,2.8,15.0,монолитно-каркасный,да,2654220.0
71.3,38.5,3.2,4.0,7.9,7.0,монолитно-каркасный,нет,3735490.0
68.0,29.2,2.9,2.0,3.7,10.0,монолитно-каркасный,нет,3498800.0
55.7,23.4,2.9,2.0,6.2,11.0,жб панель,да,3093630.0
59.2,31.4,2.7,2.0,9.0,3.0,жб панель,да,3518480.0
68.0,34.7,3.0,3.0,0.4,3.0,жб панель,да,5096800.0
39.5,15.8,3.5,1.0,7.1,7.0,монолитно-каркасный,нет,1752350.0
54.6,22.9,2.9,2.0,9.2,5.0,монолитно-каркасный,нет,4065880.0
70.0,32.2,3.4,3.0,9.6,6.0,жб панель,нет,4693000.0
46.8,20.6,3.1,1.0,5.5,0.0,жб панель,да,3063920.0
68.1,36.8,2.9,3.0,8.9,4.0,жб панель,да,4225320.0
73.0,44.5,3.1,4.0,9.5,2.0,кирпич,нет,3556200.0
56.8,29.0,2.7,2.0,3.5,3.0,кирпич,нет,2608000.0
64.6,28.4,3.0,2.0,7.2,3.0,кирпич,да,3023699.9999999995
53.8,28.0,3.2,1.0,4.5,8.0,жб панель,нет,3685020.0
98.0,49.0,2.7,2.0,9.9,7.0,жб панель,да,4165000.0
44.8,26.4,3.3,1.0,12.4,3.0,кирпич,да,3149440.0
57.0,37.0,2.7,2.0,5.0,9.0,жб панель,да,2750800.0
67.4,43.8,2.7,3.0,7.0,7.0,монолитно-каркасный,да,3406560.0000000005
104.6,57.5,2.8,3.0,2.4,10.0,кирпич,нет,5438060.0
59.3,34.4,3.1,2.0,10.8,4.0,монолитно-каркасный,да,3397080.0
89.0,40.0,2.7,3.0,7.0,13.0,кирпич,нет,3633400.0
109.2,45.9,2.9,5.0,5.7,6.0,жб панель,нет,6011760.0
62.0,32.9,2.7,2.0,9.5,6.0,кирпич,да,2412800.0
89.3,53.6,2.8,4.0,8.3,3.0,жб панель,нет,5833310.0
89.0,53.4,3.2,4.0,7.8,15.0,монолитно-каркасный,да,4137900.0
79.4,50.0,2.7,4.0,6.1,4.0,кирпич,нет,3937860.0
45.2,28.9,3.2,2.0,4.3,3.0,кирпич,нет,3385960.0
66.8,37.4,2.9,2.0,8.7,2.0,жб панель,нет,3881040.0
75.1,33.0,2.9,4.0,10.7,9.0,кирпич,нет,3082909.9999999995
