dt,channel,costs
2017-03-05,Ad Network  B,231.79999999999998
2017-03-06,Ad Network  B,208.52499999999998
2017-03-07,Ad Network  B,176.225
2017-03-08,Ad Network  B,192.61249999999998
2017-03-09,Ad Network  B,185.96249999999998
2017-03-10,Ad Network  B,219.92499999999998
2017-03-11,Ad Network  B,181.2125
2017-03-12,Ad Network  B,209.71249999999998
2017-03-13,Ad Network  B,187.14999999999998
2017-03-14,Ad Network  B,162.92499999999998
2017-03-15,Ad Network  B,149.86249999999998
2017-03-16,Ad Network  B,156.275
2017-03-17,Ad Network  B,151.525
2017-03-18,Ad Network  B,194.27499999999998
2017-03-19,Ad Network  B,224.67499999999998
2017-03-20,Ad Network  B,219.45
2017-03-21,Ad Network  B,217.3125
2017-03-22,Ad Network  B,211.85
2017-03-23,Ad Network  B,207.575
2017-03-24,Ad Network  B,222.77499999999998
2017-03-25,Ad Network  B,246.7625
2017-03-26,Ad Network  B,273.8375
2017-03-27,Ad Network  B,265.25
2017-03-28,Ad Network  B,255.5
2017-03-29,Ad Network  B,257.75
2017-03-30,Ad Network  B,279.0
2017-03-31,Ad Network  B,270.25
2017-04-01,Ad Network  B,298.5
2017-04-02,Ad Network  B,314.5
2017-04-03,Ad Network  B,282.5
2017-04-04,Ad Network  B,286.25
2017-04-05,Ad Network  B,219.0
2017-04-06,Ad Network  B,251.5
2017-04-07,Ad Network  B,223.0
2017-04-08,Ad Network  B,242.5
2017-04-09,Ad Network  B,269.75
2017-04-10,Ad Network  B,209.0
2017-04-11,Ad Network  B,203.25
2017-04-12,Ad Network  B,153.25
2017-04-13,Ad Network  B,163.5
2017-04-14,Ad Network  B,160.5
2017-04-15,Ad Network  B,165.5
2017-04-16,Ad Network  B,189.75
2017-04-17,Ad Network  B,197.25
2017-04-18,Ad Network  B,178.0
2017-04-19,Ad Network  B,140.25
2017-04-20,Ad Network  B,139.25
2017-04-21,Ad Network  B,166.5
2017-04-22,Ad Network  B,189.0
2017-04-23,Ad Network  B,215.5
2017-04-24,Ad Network  B,168.25
2017-04-25,Ad Network  B,131.0
2017-04-26,Ad Network  B,183.5
2017-04-27,Ad Network  B,172.75
2017-04-28,Ad Network  B,198.75
2017-04-29,Ad Network  B,206.75
2017-04-30,Ad Network  B,236.0
2017-01-01,Ad Network A,1314.0125594996612
2017-01-02,Ad Network A,1337.5560324363557
2017-01-03,Ad Network A,1126.687361834102
2017-01-04,Ad Network A,1084.6980248931316
2017-01-05,Ad Network A,1031.267146991205
2017-01-06,Ad Network A,1193.429147874494
2017-01-07,Ad Network A,1254.4128204853075
2017-01-08,Ad Network A,1113.8958804377214
2017-01-09,Ad Network A,1051.4024550914914
2017-01-10,Ad Network A,1020.9553601000321
2017-01-11,Ad Network A,998.6882444746145
2017-01-12,Ad Network A,933.9107747287594
2017-01-13,Ad Network A,746.6184848655192
2017-01-14,Ad Network A,794.167684710657
2017-01-15,Ad Network A,858.9282649201928
2017-01-16,Ad Network A,969.8743619126208
2017-01-17,Ad Network A,816.474576268614
2017-01-18,Ad Network A,780.4838332554226
2017-01-19,Ad Network A,726.9471155313207
2017-01-20,Ad Network A,812.0004016032017
2017-01-21,Ad Network A,903.899606707544
2017-01-22,Ad Network A,967.2678021656209
2017-01-23,Ad Network A,827.5217376365315
2017-01-24,Ad Network A,754.065520379368
2017-01-25,Ad Network A,739.8267781225283
2017-01-26,Ad Network A,849.7846078504991
2017-01-27,Ad Network A,946.985316226666
2017-01-28,Ad Network A,1014.8045668895808
2017-01-29,Ad Network A,1316.6380339137093
2017-01-30,Ad Network A,1103.1575680250005
2017-01-31,Ad Network A,1028.4679418701962
2017-02-01,Ad Network A,1055.9935407513572
2017-02-02,Ad Network A,1136.8391758711434
2017-02-03,Ad Network A,988.1170176441906
2017-02-04,Ad Network A,1230.9424344376644
2017-02-05,Ad Network A,1298.5014962793744
2017-02-06,Ad Network A,1257.1139375913149
2017-02-07,Ad Network A,1063.8641465086928
2017-02-08,Ad Network A,1166.7942594950885
2017-02-09,Ad Network A,1074.637143597683
2017-02-10,Ad Network A,1180.3095711924725
2017-02-11,Ad Network A,1267.6628467576409
2017-02-12,Ad Network A,1241.5665251151809
2017-02-13,Ad Network A,1147.2422632959276
2017-02-14,Ad Network A,957.3813349628361
2017-02-15,Ad Network A,951.945040527463
2017-02-16,Ad Network A,1002.7046984715271
2017-02-17,Ad Network A,1194.0495559619005
2017-02-18,Ad Network A,1204.8201578798114
2017-02-19,Ad Network A,1228.837070298917
2017-02-20,Ad Network A,1146.6369938399287
2017-02-21,Ad Network A,1090.2002676509903
2017-02-22,Ad Network A,1094.5629192674103
2017-02-23,Ad Network A,1151.4102601506702
2017-02-24,Ad Network A,1056.2109993265315
2017-02-25,Ad Network A,1115.4716771232372
2017-02-26,Ad Network A,1262.7078327546749
2017-02-27,Ad Network A,1110.8342515542818
2017-02-28,Ad Network A,1142.760053879624
2017-03-01,Ad Network A,1018.9518507629841
2017-03-02,Ad Network A,903.7621419861902
2017-03-03,Ad Network A,956.2368364823274
2017-03-04,Ad Network A,1064.467923216951
2017-03-05,Ad Network A,972.9597613275295
2017-03-06,Ad Network A,892.0238862152771
2017-03-07,Ad Network A,914.0185191011321
2017-03-08,Ad Network A,844.8535464378423
2017-03-09,Ad Network A,861.0502819143362
2017-03-10,Ad Network A,992.1715292735598
2017-03-11,Ad Network A,927.1780367755798
2017-03-12,Ad Network A,981.3023653126866
2017-03-13,Ad Network A,880.1460087442205
2017-03-14,Ad Network A,730.5825315431374
2017-03-15,Ad Network A,669.3870056569319
2017-03-16,Ad Network A,641.5873243616202
2017-03-17,Ad Network A,739.8996826273702
2017-03-18,Ad Network A,844.1879089226023
2017-03-19,Ad Network A,1051.5710936566002
2017-03-20,Ad Network A,983.3623617948749
2017-03-21,Ad Network A,1014.5093858969952
2017-03-22,Ad Network A,950.51271529333
2017-03-23,Ad Network A,936.2687784325909
2017-03-24,Ad Network A,970.3817222044725
2017-03-25,Ad Network A,1025.2565055004832
2017-03-26,Ad Network A,1291.2204798822477
2017-03-27,Ad Network A,1203.0900155888728
2017-03-28,Ad Network A,1103.7007519882136
2017-03-29,Ad Network A,1053.6495142091849
2017-03-30,Ad Network A,1140.130756324527
2017-03-31,Ad Network A,1173.2060019256219
2017-04-01,Ad Network A,1322.1346500194152
2017-04-02,Ad Network A,1283.7138515083318
2017-04-03,Ad Network A,1258.5254827041458
2017-04-04,Ad Network A,1167.928490983519
2017-04-05,Ad Network A,911.6122451330447
2017-04-06,Ad Network A,1049.7456095918496
2017-04-07,Ad Network A,978.245931255176
2017-04-08,Ad Network A,1107.1016154780225
2017-04-09,Ad Network A,1180.676874989029
2017-04-10,Ad Network A,944.4936024901513
2017-04-11,Ad Network A,838.3995197162166
2017-04-12,Ad Network A,628.4893053636289
2017-04-13,Ad Network A,711.617928373437
2017-04-14,Ad Network A,654.3656044052123
2017-04-15,Ad Network A,688.7983307269636
2017-04-16,Ad Network A,853.4882257603072
2017-04-17,Ad Network A,771.1442992310301
2017-04-18,Ad Network A,682.7006006798676
2017-04-19,Ad Network A,546.119084139066
2017-04-20,Ad Network A,614.0445265528247
2017-04-21,Ad Network A,739.3958089482851
2017-04-22,Ad Network A,787.6357728418312
2017-04-23,Ad Network A,909.2190295493253
2017-04-24,Ad Network A,784.0647553752839
2017-04-25,Ad Network A,600.6841334986426
2017-04-26,Ad Network A,786.9906336945543
2017-04-27,Ad Network A,836.1542192999408
2017-04-28,Ad Network A,870.1996846004972
2017-04-29,Ad Network A,959.4719142488931
2017-04-30,Ad Network A,1000.5683990747415
2017-01-01,Ad Network C,653.0
2017-01-02,Ad Network C,607.0
2017-01-03,Ad Network C,547.0
2017-01-04,Ad Network C,480.0
2017-01-05,Ad Network C,476.0
2017-01-06,Ad Network C,540.0
2017-01-07,Ad Network C,563.0
2017-01-08,Ad Network C,555.0
2017-01-09,Ad Network C,509.0
2017-01-10,Ad Network C,476.0
2017-01-11,Ad Network C,475.0
2017-01-12,Ad Network C,465.0
2017-01-13,Ad Network C,347.0
2017-01-14,Ad Network C,386.0
2017-01-15,Ad Network C,395.0
2017-01-16,Ad Network C,414.0
2017-01-17,Ad Network C,393.0
2017-01-18,Ad Network C,379.0
2017-01-19,Ad Network C,341.0
2017-01-20,Ad Network C,386.0
2017-01-21,Ad Network C,383.0
2017-01-22,Ad Network C,422.0
2017-01-23,Ad Network C,375.0
2017-01-24,Ad Network C,362.0
2017-01-25,Ad Network C,377.0
2017-01-26,Ad Network C,410.0
2017-01-27,Ad Network C,438.0
2017-01-28,Ad Network C,463.0
2017-01-29,Ad Network C,199.0
2017-01-30,Ad Network C,188.0
2017-01-31,Ad Network C,179.0
2017-02-01,Ad Network C,153.0
2017-02-02,Ad Network C,164.0
2017-02-03,Ad Network C,157.0
2017-02-04,Ad Network C,197.0
2017-02-05,Ad Network C,211.0
2017-02-06,Ad Network C,223.0
2017-02-07,Ad Network C,204.60000000000002
2017-02-08,Ad Network C,187.00000000000003
2017-02-09,Ad Network C,182.60000000000002
2017-02-10,Ad Network C,193.60000000000002
2017-02-11,Ad Network C,211.20000000000002
2017-02-12,Ad Network C,204.60000000000002
2017-02-13,Ad Network C,207.9
2017-02-14,Ad Network C,188.10000000000002
2017-02-15,Ad Network C,137.5
2017-02-16,Ad Network C,170.5
2017-02-17,Ad Network C,203.50000000000003
2017-02-18,Ad Network C,216.70000000000002
2017-02-19,Ad Network C,214.50000000000003
2017-02-20,Ad Network C,176.0
2017-02-21,Ad Network C,182.60000000000002
2017-02-22,Ad Network C,200.20000000000002
2017-02-23,Ad Network C,234.3
2017-02-24,Ad Network C,166.10000000000002
2017-02-25,Ad Network C,189.20000000000002
2017-02-26,Ad Network C,193.60000000000002
2017-02-27,Ad Network C,188.10000000000002
2017-02-28,Ad Network C,192.50000000000003
2017-03-01,Ad Network C,185.9
2017-03-02,Ad Network C,145.20000000000002
2017-03-03,Ad Network C,172.70000000000002
2017-03-04,Ad Network C,179.3
2017-03-05,Ad Network C,200.20000000000002
2017-03-06,Ad Network C,170.5
2017-03-07,Ad Network C,141.9
2017-03-08,Ad Network C,135.3
2017-03-09,Ad Network C,162.8
2017-03-10,Ad Network C,169.4
2017-03-11,Ad Network C,151.8
2017-03-12,Ad Network C,166.10000000000002
2017-03-13,Ad Network C,161.70000000000002
2017-03-14,Ad Network C,146.3
2017-03-15,Ad Network C,138.6
2017-03-16,Ad Network C,120.75
2017-03-17,Ad Network C,97.65
2017-03-18,Ad Network C,150.15
2017-03-19,Ad Network C,187.95000000000002
2017-03-20,Ad Network C,159.6
2017-03-21,Ad Network C,159.6
2017-03-22,Ad Network C,168.0
2017-03-23,Ad Network C,140.70000000000002
2017-03-24,Ad Network C,168.0
2017-03-25,Ad Network C,196.35
2017-03-26,Ad Network C,192.15
2017-03-27,Ad Network C,194.25
2017-03-28,Ad Network C,165.9
2017-03-29,Ad Network C,182.70000000000002
2017-03-30,Ad Network C,192.15
2017-03-31,Ad Network C,197.4
2017-04-01,Ad Network C,202.65
2017-04-02,Ad Network C,212.10000000000002
2017-04-03,Ad Network C,192.15
2017-04-04,Ad Network C,172.20000000000002
2017-04-05,Ad Network C,132.3
2017-04-06,Ad Network C,180.6
2017-04-07,Ad Network C,175.35
2017-04-08,Ad Network C,201.60000000000002
2017-04-09,Ad Network C,197.4
2017-04-10,Ad Network C,143.85
2017-04-11,Ad Network C,147.0
2017-04-12,Ad Network C,105.0
2017-04-13,Ad Network C,113.4
2017-04-14,Ad Network C,128.1
2017-04-15,Ad Network C,114.45
2017-04-16,Ad Network C,142.8
2017-04-17,Ad Network C,138.6
2017-04-18,Ad Network C,108.15
2017-04-19,Ad Network C,96.60000000000001
2017-04-20,Ad Network C,98.7
2017-04-21,Ad Network C,111.30000000000001
2017-04-22,Ad Network C,117.60000000000001
2017-04-23,Ad Network C,173.25
2017-04-24,Ad Network C,126.0
2017-04-25,Ad Network C,105.0
2017-04-26,Ad Network C,139.65
2017-04-27,Ad Network C,132.3
2017-04-28,Ad Network C,128.1
2017-04-29,Ad Network C,170.1
2017-04-30,Ad Network C,171.15
