id,Оценка комфортности покупки билета онлайн,Оценка качества питания,Оценка качества wifi,Оценка комфортности времени отправления/прибытия,Общая оценка качества предоставленной услуги
61307623,нормально,хорошо,плохо,хорошо,плохо
59453907,нормально,отсутствует,плохо,плохо,нормально
12630660,нормально,нормально,плохо,плохо,нормально
7650407,нормально,плохо,плохо,хорошо,плохо
32722054,плохо,отсутствует,хорошо,плохо,хорошо
70503452,нормально,отсутствует,нормально,плохо,хорошо
11840147,нормально,отсутствует,нормально,хорошо,нормально
8703539,плохо,отсутствует,отсутствует,плохо,нормально
78557446,нормально,нормально,нормально,хорошо,нормально
45195681,нормально,отсутствует,плохо,хорошо,нормально
3894724,плохо,хорошо,отсутствует,хорошо,нормально
46649075,хорошо,плохо,отсутствует,хорошо,плохо
62801520,нормально,хорошо,плохо,нормально,нормально
37581956,плохо,отсутствует,отсутствует,нормально,нормально
1681936,плохо,отсутствует,отсутствует,плохо,нормально
58044751,нормально,отсутствует,плохо,нормально,нормально
36023426,нормально,хорошо,плохо,хорошо,нормально
73272210,нормально,хорошо,нормально,нормально,хорошо
22350506,хорошо,нормально,нормально,хорошо,хорошо
85610664,нормально,нормально,плохо,хорошо,нормально
72517162,плохо,отсутствует,отсутствует,плохо,плохо
99918708,нормально,нормально,плохо,плохо,нормально
8770507,нормально,нормально,плохо,нормально,нормально
61180156,нормально,нормально,плохо,хорошо,нормально
24064330,нормально,отсутствует,плохо,плохо,нормально
95891365,нормально,нормально,нормально,хорошо,нормально
78154224,нормально,отсутствует,плохо,нормально,нормально
68548123,нормально,плохо,нормально,нормально,плохо
9670134,нормально,хорошо,плохо,нормально,хорошо
16918149,плохо,отсутствует,хорошо,плохо,хорошо
99700633,нормально,хорошо,нормально,хорошо,нормально
69967530,плохо,отсутствует,отсутствует,нормально,нормально
62644549,плохо,плохо,отсутствует,плохо,плохо
75533488,нормально,хорошо,плохо,нормально,нормально
67864265,отсутствует,отсутствует,плохо,плохо,нормально
9532387,нормально,нормально,плохо,нормально,нормально
20453990,нормально,нормально,нормально,нормально,нормально
27955776,нормально,плохо,плохо,плохо,плохо
14608244,хорошо,отсутствует,хорошо,хорошо,хорошо
1332115,плохо,хорошо,нормально,нормально,плохо
97294376,плохо,нормально,отсутствует,плохо,нормально
50873781,нормально,плохо,плохо,нормально,плохо
96717316,плохо,нормально,отсутствует,плохо,нормально
10351584,нормально,плохо,плохо,нормально,нормально
54149901,хорошо,нормально,хорошо,плохо,хорошо
10699497,плохо,отсутствует,отсутствует,хорошо,нормально
81588032,нормально,плохо,нормально,плохо,плохо
36523325,хорошо,нормально,нормально,хорошо,хорошо
21509113,хорошо,отсутствует,хорошо,нормально,хорошо
32072061,плохо,плохо,нормально,нормально,хорошо
79589123,плохо,отсутствует,отсутствует,хорошо,нормально
48985203,плохо,плохо,отсутствует,хорошо,плохо
27296814,плохо,хорошо,отсутствует,хорошо,нормально
56338238,нормально,отсутствует,нормально,хорошо,нормально
12498679,нормально,хорошо,нормально,нормально,хорошо
12293246,нормально,отсутствует,нормально,нормально,нормально
38541642,плохо,нормально,нормально,плохо,хорошо
16811481,плохо,отсутствует,отсутствует,нормально,нормально
93376945,нормально,плохо,нормально,хорошо,нормально
8880323,хорошо,нормально,хорошо,нормально,хорошо
37446274,плохо,хорошо,отсутствует,нормально,нормально
57110412,хорошо,отсутствует,нормально,хорошо,хорошо
24391999,плохо,нормально,отсутствует,хорошо,нормально
44342117,хорошо,хорошо,хорошо,нормально,хорошо
44922172,нормально,нормально,нормально,хорошо,нормально
25888705,плохо,нормально,отсутствует,хорошо,нормально
74866820,нормально,нормально,плохо,хорошо,нормально
67853239,плохо,хорошо,хорошо,плохо,хорошо
13993439,плохо,отсутствует,нормально,плохо,хорошо
84679397,плохо,нормально,отсутствует,плохо,плохо
44065704,плохо,плохо,отсутствует,плохо,нормально
28254653,плохо,плохо,отсутствует,плохо,плохо
31990128,нормально,плохо,плохо,нормально,плохо
50517801,плохо,отсутствует,плохо,хорошо,нормально
37139539,нормально,отсутствует,нормально,плохо,нормально
57196242,плохо,отсутствует,отсутствует,нормально,нормально
78623344,плохо,нормально,отсутствует,хорошо,нормально
132189,плохо,нормально,отсутствует,нормально,нормально
62125318,плохо,нормально,плохо,плохо,плохо
53126702,плохо,отсутствует,отсутствует,плохо,нормально
12475800,хорошо,нормально,отсутствует,хорошо,нормально
80105009,хорошо,плохо,хорошо,хорошо,хорошо
53439222,нормально,нормально,плохо,хорошо,нормально
38454624,плохо,плохо,отсутствует,нормально,нормально
49611409,нормально,отсутствует,нормально,нормально,хорошо
5287813,плохо,плохо,отсутствует,нормально,нормально
49544777,хорошо,нормально,нормально,хорошо,нормально
74312526,нормально,нормально,нормально,плохо,хорошо
94020030,плохо,отсутствует,отсутствует,плохо,плохо
38454182,плохо,отсутствует,отсутствует,плохо,нормально
18304737,нормально,отсутствует,отсутствует,нормально,нормально
55265479,хорошо,нормально,плохо,хорошо,нормально
34176765,нормально,отсутствует,отсутствует,нормально,нормально
35199022,хорошо,нормально,хорошо,хорошо,хорошо
5929915,нормально,нормально,плохо,нормально,нормально
18583350,плохо,нормально,отсутствует,нормально,нормально
46622433,нормально,нормально,плохо,хорошо,нормально
62088592,плохо,плохо,отсутствует,плохо,плохо
41064549,нормально,хорошо,отсутствует,плохо,нормально
64854776,плохо,хорошо,отсутствует,плохо,нормально
54592480,плохо,нормально,нормально,плохо,хорошо
99822317,нормально,нормально,нормально,нормально,нормально
38843604,нормально,отсутствует,нормально,нормально,хорошо
44263935,нормально,отсутствует,плохо,плохо,нормально
40674161,плохо,хорошо,отсутствует,плохо,нормально
59512726,хорошо,отсутствует,хорошо,плохо,хорошо
31514568,нормально,нормально,плохо,плохо,нормально
63162664,плохо,нормально,отсутствует,плохо,нормально
66638720,плохо,отсутствует,отсутствует,хорошо,нормально
50127683,нормально,нормально,хорошо,плохо,хорошо
31198602,отсутствует,нормально,отсутствует,нормально,хорошо
93288482,нормально,отсутствует,отсутствует,хорошо,нормально
39565513,нормально,отсутствует,нормально,нормально,нормально
58735321,нормально,отсутствует,нормально,нормально,хорошо
76021569,нормально,нормально,плохо,хорошо,нормально
92247264,нормально,хорошо,плохо,нормально,нормально
99092582,нормально,плохо,плохо,хорошо,нормально
91280337,плохо,хорошо,отсутствует,нормально,нормально
38929338,плохо,нормально,отсутствует,хорошо,нормально
7285539,нормально,нормально,нормально,нормально,нормально
4052687,плохо,плохо,отсутствует,плохо,плохо
26205456,нормально,нормально,плохо,хорошо,нормально
53500847,нормально,нормально,плохо,хорошо,нормально
67517402,нормально,отсутствует,плохо,хорошо,нормально
29820399,нормально,нормально,нормально,нормально,нормально
62394594,нормально,хорошо,плохо,плохо,нормально
25987821,нормально,отсутствует,хорошо,нормально,хорошо
83493801,нормально,хорошо,отсутствует,нормально,нормально
13639152,нормально,нормально,плохо,нормально,нормально
85081304,нормально,отсутствует,плохо,нормально,нормально
83234079,плохо,нормально,отсутствует,плохо,нормально
54693308,плохо,отсутствует,отсутствует,нормально,нормально
67879645,нормально,отсутствует,плохо,хорошо,нормально
20494958,плохо,нормально,отсутствует,хорошо,нормально
77379471,нормально,отсутствует,нормально,нормально,нормально
25315524,нормально,отсутствует,плохо,нормально,нормально
37984827,плохо,хорошо,отсутствует,плохо,нормально
48827458,нормально,плохо,нормально,нормально,плохо
98951146,плохо,плохо,отсутствует,нормально,нормально
6658141,нормально,отсутствует,плохо,хорошо,нормально
34658211,нормально,отсутствует,нормально,нормально,нормально
37942012,плохо,отсутствует,отсутствует,нормально,нормально
43788692,нормально,отсутствует,плохо,хорошо,нормально
73152212,плохо,хорошо,хорошо,плохо,хорошо
3611721,отсутствует,нормально,отсутствует,плохо,хорошо
70834120,отсутствует,хорошо,отсутствует,нормально,хорошо
63267985,нормально,нормально,нормально,нормально,хорошо
59418295,плохо,хорошо,отсутствует,плохо,хорошо
10366633,плохо,отсутствует,отсутствует,хорошо,нормально
54994905,нормально,плохо,плохо,нормально,нормально
96110214,плохо,отсутствует,отсутствует,хорошо,нормально
24287648,нормально,отсутствует,нормально,плохо,нормально
90889642,нормально,нормально,отсутствует,хорошо,нормально
37948607,плохо,нормально,отсутствует,нормально,нормально
31815640,хорошо,плохо,отсутствует,хорошо,нормально
89848779,плохо,отсутствует,нормально,плохо,нормально
39822725,нормально,плохо,плохо,нормально,плохо
13006631,плохо,плохо,отсутствует,хорошо,плохо
6423906,хорошо,отсутствует,хорошо,нормально,хорошо
67937516,нормально,нормально,нормально,нормально,нормально
8946911,нормально,нормально,нормально,нормально,хорошо
44350610,нормально,плохо,отсутствует,хорошо,нормально
51908694,нормально,плохо,отсутствует,нормально,нормально
94824910,плохо,плохо,отсутствует,хорошо,нормально
72686292,нормально,отсутствует,нормально,нормально,хорошо
27019251,плохо,нормально,плохо,нормально,нормально
50475081,плохо,плохо,отсутствует,плохо,плохо
35204707,плохо,отсутствует,отсутствует,плохо,нормально
63168980,плохо,плохо,отсутствует,нормально,плохо
64972897,нормально,отсутствует,плохо,хорошо,нормально
53534550,плохо,плохо,отсутствует,нормально,нормально
74275532,плохо,отсутствует,отсутствует,плохо,плохо
34650482,плохо,плохо,отсутствует,плохо,плохо
96472152,плохо,плохо,отсутствует,плохо,плохо
73044683,плохо,плохо,отсутствует,нормально,плохо
22096927,плохо,нормально,нормально,плохо,хорошо
68972471,плохо,отсутствует,отсутствует,хорошо,нормально
35714024,плохо,плохо,отсутствует,плохо,плохо
59364163,плохо,отсутствует,отсутствует,хорошо,плохо
6075846,плохо,нормально,отсутствует,плохо,хорошо
79169009,нормально,плохо,плохо,хорошо,нормально
24305854,нормально,плохо,плохо,плохо,плохо
78981123,плохо,плохо,отсутствует,плохо,плохо
56083815,плохо,хорошо,отсутствует,плохо,нормально
18669505,плохо,нормально,нормально,плохо,нормально
44353128,плохо,плохо,отсутствует,плохо,плохо
77523912,нормально,плохо,плохо,плохо,плохо
27933826,нормально,плохо,отсутствует,нормально,плохо
43773522,нормально,нормально,отсутствует,хорошо,нормально
57496600,плохо,нормально,отсутствует,нормально,нормально
89435567,плохо,нормально,отсутствует,нормально,нормально
86253765,плохо,плохо,отсутствует,хорошо,нормально
7986551,отсутствует,отсутствует,нормально,плохо,нормально
49888564,плохо,плохо,отсутствует,нормально,плохо
84019103,плохо,отсутствует,отсутствует,плохо,плохо
60231784,плохо,отсутствует,отсутствует,нормально,нормально
69880918,нормально,плохо,нормально,нормально,хорошо
88105095,нормально,нормально,плохо,нормально,нормально
67032369,нормально,нормально,плохо,нормально,нормально
85769396,нормально,хорошо,плохо,нормально,нормально
75404995,отсутствует,плохо,отсутствует,плохо,хорошо
75897186,нормально,отсутствует,плохо,нормально,нормально
29817411,нормально,отсутствует,отсутствует,плохо,хорошо
25478738,плохо,нормально,отсутствует,нормально,нормально
27888944,нормально,плохо,плохо,плохо,плохо
53930247,нормально,отсутствует,нормально,нормально,нормально
3832797,нормально,хорошо,плохо,нормально,нормально
14589935,плохо,отсутствует,отсутствует,плохо,плохо
71260055,нормально,плохо,нормально,хорошо,нормально
83475352,нормально,нормально,плохо,нормально,нормально
87989225,нормально,нормально,плохо,плохо,нормально
9554046,нормально,плохо,плохо,плохо,плохо
71948840,хорошо,плохо,хорошо,плохо,хорошо
3209448,плохо,отсутствует,отсутствует,хорошо,нормально
91556078,плохо,отсутствует,отсутствует,хорошо,плохо
30464291,хорошо,хорошо,нормально,нормально,нормально
71608780,нормально,отсутствует,плохо,нормально,плохо
28849731,хорошо,нормально,хорошо,плохо,хорошо
62425847,плохо,нормально,плохо,плохо,нормально
97162074,хорошо,нормально,нормально,хорошо,хорошо
49795471,нормально,плохо,нормально,нормально,нормально
20988267,плохо,отсутствует,отсутствует,плохо,плохо
30853981,нормально,хорошо,плохо,нормально,нормально
23863152,плохо,плохо,отсутствует,хорошо,нормально
16436888,плохо,хорошо,отсутствует,нормально,нормально
22077373,нормально,плохо,плохо,плохо,плохо
48763121,плохо,нормально,плохо,плохо,нормально
53867007,нормально,плохо,нормально,хорошо,нормально
24547698,хорошо,нормально,плохо,хорошо,хорошо
76840642,плохо,отсутствует,отсутствует,плохо,плохо
53622987,нормально,отсутствует,плохо,нормально,нормально
57379119,нормально,плохо,хорошо,хорошо,нормально
59510790,плохо,отсутствует,хорошо,плохо,хорошо
71802948,нормально,плохо,плохо,нормально,нормально
45165201,нормально,хорошо,плохо,плохо,нормально
19522765,нормально,плохо,нормально,нормально,нормально
43653983,плохо,нормально,отсутствует,нормально,нормально
1774533,плохо,плохо,отсутствует,плохо,плохо
24432803,плохо,плохо,отсутствует,хорошо,нормально
83308520,плохо,отсутствует,отсутствует,плохо,плохо
581586,нормально,отсутствует,нормально,плохо,хорошо
38803272,нормально,отсутствует,плохо,нормально,нормально
16997827,хорошо,отсутствует,хорошо,хорошо,хорошо
1361791,плохо,отсутствует,отсутствует,нормально,нормально
64154570,плохо,отсутствует,отсутствует,плохо,нормально
35088990,плохо,нормально,плохо,плохо,плохо
32562271,плохо,плохо,отсутствует,нормально,нормально
35054448,нормально,плохо,плохо,нормально,нормально
18793439,плохо,плохо,отсутствует,нормально,плохо
46538906,плохо,плохо,отсутствует,нормально,плохо
51842211,плохо,отсутствует,отсутствует,нормально,нормально
28694431,нормально,хорошо,плохо,нормально,нормально
94231746,плохо,плохо,отсутствует,плохо,плохо
47358473,нормально,плохо,нормально,нормально,нормально
7327128,нормально,отсутствует,нормально,хорошо,нормально
4978854,плохо,нормально,нормально,плохо,нормально
88507716,нормально,плохо,нормально,хорошо,нормально
72024520,нормально,нормально,плохо,нормально,нормально
27037351,нормально,нормально,плохо,нормально,нормально
32905598,плохо,плохо,плохо,плохо,плохо
89463274,плохо,нормально,отсутствует,нормально,нормально
87268414,нормально,хорошо,плохо,нормально,нормально
26539732,нормально,отсутствует,плохо,нормально,нормально
55316847,нормально,хорошо,нормально,нормально,нормально
97480801,нормально,нормально,нормально,плохо,нормально
9779934,плохо,плохо,отсутствует,плохо,плохо
65139796,нормально,отсутствует,плохо,плохо,нормально
2327425,плохо,нормально,отсутствует,нормально,нормально
20895427,нормально,нормально,плохо,нормально,хорошо
34469161,плохо,нормально,нормально,плохо,хорошо
71711170,плохо,отсутствует,отсутствует,нормально,нормально
21995131,плохо,плохо,отсутствует,хорошо,плохо
24261868,нормально,нормально,отсутствует,нормально,нормально
1459483,плохо,нормально,отсутствует,нормально,нормально
67474174,хорошо,отсутствует,отсутствует,хорошо,нормально
92858792,плохо,нормально,отсутствует,плохо,нормально
7840959,плохо,отсутствует,отсутствует,плохо,нормально
97608656,плохо,отсутствует,отсутствует,плохо,нормально
69590581,нормально,отсутствует,хорошо,хорошо,хорошо
21476306,нормально,нормально,нормально,нормально,хорошо
2880170,плохо,нормально,отсутствует,нормально,нормально
82593972,плохо,нормально,отсутствует,хорошо,нормально
45305233,плохо,плохо,отсутствует,хорошо,плохо
48286529,нормально,плохо,отсутствует,нормально,нормально
57094863,нормально,плохо,плохо,плохо,плохо
69073719,отсутствует,отсутствует,отсутствует,нормально,нормально
7556644,нормально,отсутствует,плохо,нормально,нормально
98365351,плохо,хорошо,отсутствует,нормально,нормально
37593077,плохо,отсутствует,нормально,плохо,хорошо
32386840,плохо,отсутствует,отсутствует,хорошо,нормально
8438850,плохо,нормально,плохо,хорошо,нормально
32168720,плохо,плохо,отсутствует,плохо,плохо
6837707,нормально,отсутствует,плохо,плохо,хорошо
70395090,нормально,отсутствует,плохо,плохо,нормально
5427817,отсутствует,отсутствует,отсутствует,нормально,нормально
95387599,плохо,плохо,отсутствует,нормально,нормально
78722526,нормально,нормально,плохо,нормально,нормально
48371909,нормально,нормально,нормально,хорошо,нормально
61089465,плохо,нормально,отсутствует,плохо,нормально
6641480,нормально,нормально,плохо,плохо,нормально
59551393,нормально,отсутствует,нормально,плохо,хорошо
74780168,плохо,нормально,отсутствует,нормально,нормально
13500839,нормально,нормально,нормально,плохо,хорошо
14305940,плохо,отсутствует,отсутствует,хорошо,нормально
16879241,нормально,нормально,плохо,нормально,нормально
3732295,плохо,отсутствует,отсутствует,нормально,нормально
33903013,нормально,хорошо,плохо,плохо,нормально
97942504,нормально,плохо,отсутствует,нормально,нормально
43715793,нормально,нормально,плохо,хорошо,нормально
87747941,отсутствует,отсутствует,отсутствует,плохо,нормально
24124270,нормально,нормально,плохо,хорошо,нормально
18782975,нормально,отсутствует,отсутствует,нормально,нормально
1458075,нормально,плохо,отсутствует,плохо,нормально
94672760,нормально,хорошо,нормально,плохо,хорошо
34715872,плохо,отсутствует,отсутствует,хорошо,нормально
38208458,нормально,нормально,плохо,нормально,нормально
79244854,плохо,нормально,нормально,плохо,нормально
24735427,нормально,хорошо,хорошо,нормально,хорошо
77171151,плохо,хорошо,плохо,нормально,нормально
2224715,плохо,отсутствует,отсутствует,плохо,плохо
45311503,плохо,отсутствует,плохо,нормально,нормально
49162232,нормально,нормально,нормально,плохо,хорошо
42585969,нормально,отсутствует,нормально,хорошо,нормально
28220107,нормально,хорошо,хорошо,нормально,хорошо
11449496,нормально,плохо,нормально,плохо,нормально
73656622,нормально,отсутствует,плохо,нормально,нормально
27439674,плохо,плохо,отсутствует,плохо,плохо
2546217,нормально,плохо,нормально,нормально,нормально
78969812,нормально,хорошо,плохо,нормально,нормально
54134377,плохо,отсутствует,отсутствует,нормально,нормально
62698774,отсутствует,отсутствует,отсутствует,нормально,нормально
51304794,отсутствует,нормально,отсутствует,плохо,хорошо
16677656,нормально,нормально,плохо,нормально,нормально
52094826,нормально,отсутствует,нормально,плохо,хорошо
85534867,плохо,плохо,хорошо,плохо,нормально
79521390,нормально,отсутствует,плохо,хорошо,нормально
26664783,нормально,плохо,плохо,нормально,нормально
42956145,плохо,отсутствует,отсутствует,нормально,нормально
95614347,нормально,нормально,нормально,хорошо,нормально
21650760,нормально,нормально,плохо,хорошо,нормально
31436119,отсутствует,нормально,отсутствует,плохо,хорошо
86224887,нормально,плохо,плохо,нормально,нормально
16782479,плохо,отсутствует,отсутствует,нормально,нормально
65404250,нормально,плохо,нормально,хорошо,хорошо
70109824,плохо,плохо,плохо,хорошо,нормально
79386370,хорошо,нормально,плохо,хорошо,нормально
20416812,плохо,отсутствует,отсутствует,нормально,нормально
45218229,плохо,отсутствует,отсутствует,нормально,нормально
34776843,плохо,отсутствует,отсутствует,хорошо,нормально
74657724,нормально,плохо,нормально,нормально,хорошо
81006176,отсутствует,отсутствует,плохо,нормально,нормально
43454168,плохо,отсутствует,плохо,нормально,нормально
26392919,хорошо,отсутствует,хорошо,хорошо,хорошо
31195917,нормально,отсутствует,отсутствует,нормально,нормально
12845834,нормально,плохо,плохо,нормально,нормально
27399446,плохо,хорошо,отсутствует,нормально,нормально
52300714,плохо,нормально,отсутствует,нормально,нормально
34717719,нормально,хорошо,плохо,нормально,нормально
40425712,плохо,отсутствует,плохо,плохо,нормально
28662169,нормально,отсутствует,плохо,нормально,нормально
93580827,плохо,отсутствует,отсутствует,плохо,нормально
82912277,нормально,отсутствует,плохо,плохо,нормально
